repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
9,1,1,Monotonic,0,"{""lambda"": 0.001}",0.5042424242424242,44,16,0.0
9,1,2,Monotonic,0,"{""lambda"": 0.001}",0.7109090909090909,40,18,0.0
9,1,3,Monotonic,0,"{""lambda"": 0.001}",0.7297979797979797,43,15,0.0
9,1,4,Monotonic,0,"{""lambda"": 0.001}",0.5944444444444444,37,17,0.0
9,1,5,Monotonic,0,"{""lambda"": 0.001}",0.30476190476190473,39,16,0.0
9,1,1,Monotonic,1,"{""lambda"": 0.01}",0.46333333333333326,30,17,0.0
9,1,2,Monotonic,1,"{""lambda"": 0.01}",0.7551948051948052,30,19,0.0
9,1,3,Monotonic,1,"{""lambda"": 0.01}",0.7797979797979797,29,15,0.0
9,1,4,Monotonic,1,"{""lambda"": 0.01}",0.7087301587301587,30,17,0.0
9,1,5,Monotonic,1,"{""lambda"": 0.01}",0.33809523809523806,31,16,0.0
9,1,1,Monotonic,2,"{""lambda"": 0.1}",0.4766233766233766,16,18,0.0
9,1,2,Monotonic,2,"{""lambda"": 0.1}",0.7551948051948052,17,20,0.0
9,1,3,Monotonic,2,"{""lambda"": 0.1}",0.7551948051948052,17,19,0.0
9,1,4,Monotonic,2,"{""lambda"": 0.1}",0.7277777777777779,16,18,0.0
9,1,5,Monotonic,2,"{""lambda"": 0.1}",0.39166666666666666,17,19,0.0
9,1,1,Monotonic,3,"{""lambda"": 1.0}",0.49682539682539684,12,19,0.0
9,1,2,Monotonic,3,"{""lambda"": 1.0}",0.8333333333333333,12,20,0.0
9,1,3,Monotonic,3,"{""lambda"": 1.0}",0.800909090909091,12,19,0.0
9,1,4,Monotonic,3,"{""lambda"": 1.0}",0.7595238095238095,12,20,0.0
9,1,5,Monotonic,3,"{""lambda"": 1.0}",0.41547619047619044,12,20,0.0
9,1,1,Monotonic,4,"{""lambda"": 10.0}",0.49682539682539684,10,19,0.0
9,1,2,Monotonic,4,"{""lambda"": 10.0}",0.8999999999999999,9,20,0.0
9,1,3,Monotonic,4,"{""lambda"": 10.0}",0.800909090909091,10,19,0.0
9,1,4,Monotonic,4,"{""lambda"": 10.0}",0.6961904761904762,10,20,0.0
9,1,5,Monotonic,4,"{""lambda"": 10.0}",0.45714285714285713,10,19,0.0
9,1,1,L2,0,"{""lambda"": 0.001}",0.44333333333333336,58,21,
9,1,2,L2,0,"{""lambda"": 0.001}",0.800909090909091,42,21,
9,1,3,L2,0,"{""lambda"": 0.001}",0.6655122655122655,63,21,
9,1,4,L2,0,"{""lambda"": 0.001}",0.5305555555555556,51,21,
9,1,5,L2,0,"{""lambda"": 0.001}",0.35,71,21,
9,1,1,L2,1,"{""lambda"": 0.01}",0.4966666666666666,33,21,
9,1,2,L2,1,"{""lambda"": 0.01}",0.6885281385281385,32,21,
9,1,3,L2,1,"{""lambda"": 0.01}",0.7797979797979797,37,21,
9,1,4,L2,1,"{""lambda"": 0.01}",0.5438888888888889,34,21,
9,1,5,L2,1,"{""lambda"": 0.01}",0.3458333333333333,37,21,
9,1,1,L2,2,"{""lambda"": 0.1}",0.48571428571428565,16,21,
9,1,2,L2,2,"{""lambda"": 0.1}",0.6742424242424243,17,21,
9,1,3,L2,2,"{""lambda"": 0.1}",0.7742424242424242,18,21,
9,1,4,L2,2,"{""lambda"": 0.1}",0.6453968253968254,18,21,
9,1,5,L2,2,"{""lambda"": 0.1}",0.35,17,21,
9,1,1,L2,3,"{""lambda"": 1.0}",0.5301587301587302,11,21,
9,1,2,L2,3,"{""lambda"": 1.0}",0.8599999999999999,11,21,
9,1,3,L2,3,"{""lambda"": 1.0}",0.800909090909091,11,21,
9,1,4,L2,3,"{""lambda"": 1.0}",0.6961904761904762,11,21,
9,1,5,L2,3,"{""lambda"": 1.0}",0.41547619047619044,11,21,
9,1,1,L2,4,"{""lambda"": 10.0}",0.5301587301587302,10,21,
9,1,2,L2,4,"{""lambda"": 10.0}",0.8999999999999999,9,21,
9,1,3,L2,4,"{""lambda"": 10.0}",0.800909090909091,10,21,
9,1,4,L2,4,"{""lambda"": 10.0}",0.6961904761904762,10,21,
9,1,5,L2,4,"{""lambda"": 10.0}",0.45714285714285713,10,21,
9,1,1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.44333333333333336,5099,21,
9,1,2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.800909090909091,2295,21,
9,1,3,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.6655122655122655,3773,21,
9,1,4,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.5305555555555556,2471,21,
9,1,5,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.35,4671,21,
9,1,1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.44333333333333336,7958,21,
9,1,2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.800909090909091,2368,20,
9,1,3,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.6655122655122655,4613,21,
9,1,4,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.5305555555555556,2951,21,
9,1,5,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.35,7012,21,
