repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
12,11042,1,Monotonic,56,15,0.4397348683062969,0.4666666666666667,0.7736010101010101,"{""lambda"": 0.01}",30.0,18.0,0.0,
12,11042,1,L2,56,15,0.5382867132867133,0.4666666666666667,0.7405468975468976,"{""lambda"": 1.0}",11.0,21.0,,
12,11042,1,Elastic Net,56,15,0.4397348683062969,0.4666666666666667,0.7378066378066379,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",523.0,16.0,,
12,11042,1,SVM,56,15,0.39984301412872847,0.4666666666666667,0.7987056277056277,"{""C"": 1.0, ""gamma"": ""scale""}",74.0,21.0,,
12,11042,1,Inner-selected,56,15,0.39984301412872847,0.4666666666666667,,,,,,SVM
12,11042,2,Monotonic,57,14,0.607936507936508,0.42857142857142855,0.6643246753246752,"{""lambda"": 10.0}",9.0,18.0,0.0,
12,11042,2,L2,57,14,0.5801587301587302,0.42857142857142855,0.6671976911976911,"{""lambda"": 10.0}",9.0,21.0,,
12,11042,2,Elastic Net,57,14,0.5612794612794613,0.42857142857142855,0.6438326118326118,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",149.0,8.0,,
12,11042,2,SVM,57,14,0.5382936507936508,0.42857142857142855,0.6751341991341991,"{""C"": 0.1, ""gamma"": 0.01}",32.0,21.0,,
12,11042,2,Inner-selected,57,14,0.5382936507936508,0.42857142857142855,,,,,,SVM
12,11042,3,Monotonic,57,14,0.8178571428571427,0.42857142857142855,0.7239668109668109,"{""lambda"": 10.0}",9.0,19.0,0.0,
12,11042,3,L2,57,14,0.8178571428571427,0.42857142857142855,0.7239668109668109,"{""lambda"": 10.0}",9.0,21.0,,
12,11042,3,Elastic Net,57,14,0.7180555555555556,0.42857142857142855,0.7122294372294372,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",66.0,7.0,,
12,11042,3,SVM,57,14,0.6685897435897437,0.42857142857142855,0.7094747474747474,"{""C"": 0.01, ""gamma"": 0.01}",26.0,21.0,,
12,11042,3,Inner-selected,57,14,0.8178571428571427,0.42857142857142855,,,,,,Monotonic
12,11042,4,Monotonic,57,14,0.8631313131313131,0.42857142857142855,0.6285541125541125,"{""lambda"": 10.0}",10.0,19.0,0.0,
12,11042,4,L2,57,14,0.8964646464646464,0.42857142857142855,0.6394747474747474,"{""lambda"": 10.0}",10.0,21.0,,
12,11042,4,Elastic Net,57,14,0.8412698412698412,0.42857142857142855,0.603991341991342,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",76.0,6.0,,
12,11042,4,SVM,57,14,0.8214646464646465,0.42857142857142855,0.6054025974025974,"{""C"": 0.1, ""gamma"": 0.01}",28.0,21.0,,
12,11042,4,Inner-selected,57,14,0.8964646464646464,0.42857142857142855,,,,,,L2
12,11042,5,Monotonic,57,14,0.591086691086691,0.42857142857142855,0.8223246753246753,"{""lambda"": 1.0}",12.0,19.0,0.0,
12,11042,5,L2,57,14,0.5980311355311355,0.42857142857142855,0.8314199134199134,"{""lambda"": 1.0}",10.0,21.0,,
12,11042,5,Elastic Net,57,14,0.585026085026085,0.42857142857142855,0.802047619047619,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",125.0,16.0,,
12,11042,5,SVM,57,14,0.5980311355311355,0.42857142857142855,0.7927532467532468,"{""C"": 0.01, ""gamma"": 0.01}",27.0,21.0,,
12,11042,5,Inner-selected,57,14,0.5980311355311355,0.42857142857142855,,,,,,L2
