repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
8,1,1,Monotonic,0,"{""lambda"": 0.001}",0.5109090909090909,38,17,0.0
8,1,2,Monotonic,0,"{""lambda"": 0.001}",0.6222222222222222,32,15,0.0
8,1,3,Monotonic,0,"{""lambda"": 0.001}",0.8528571428571428,36,17,0.0
8,1,4,Monotonic,0,"{""lambda"": 0.001}",0.8444444444444443,43,16,0.0
8,1,5,Monotonic,0,"{""lambda"": 0.001}",0.5682539682539682,45,16,0.0
8,1,1,Monotonic,1,"{""lambda"": 0.01}",0.5109090909090909,26,17,0.0
8,1,2,Monotonic,1,"{""lambda"": 0.01}",0.6222222222222222,25,15,0.0
8,1,3,Monotonic,1,"{""lambda"": 0.01}",0.8766666666666667,28,17,0.0
8,1,4,Monotonic,1,"{""lambda"": 0.01}",0.8444444444444443,31,17,0.0
8,1,5,Monotonic,1,"{""lambda"": 0.01}",0.5932539682539683,32,19,0.0
8,1,1,Monotonic,2,"{""lambda"": 0.1}",0.4866666666666666,15,19,0.0
8,1,2,Monotonic,2,"{""lambda"": 0.1}",0.6585281385281385,15,18,0.0
8,1,3,Monotonic,2,"{""lambda"": 0.1}",0.8766666666666667,16,21,0.0
8,1,4,Monotonic,2,"{""lambda"": 0.1}",0.8711111111111112,16,18,0.0
8,1,5,Monotonic,2,"{""lambda"": 0.1}",0.75,15,19,0.0
8,1,1,Monotonic,3,"{""lambda"": 1.0}",0.4920634920634921,12,20,0.0
8,1,2,Monotonic,3,"{""lambda"": 1.0}",0.6422222222222222,12,20,0.0
8,1,3,Monotonic,3,"{""lambda"": 1.0}",0.9266666666666665,12,20,0.0
8,1,4,Monotonic,3,"{""lambda"": 1.0}",0.8711111111111112,12,19,0.0
8,1,5,Monotonic,3,"{""lambda"": 1.0}",0.75,12,20,0.0
8,1,1,Monotonic,4,"{""lambda"": 10.0}",0.4920634920634921,10,20,0.0
8,1,2,Monotonic,4,"{""lambda"": 10.0}",0.6644444444444444,10,20,0.0
8,1,3,Monotonic,4,"{""lambda"": 10.0}",0.9666666666666666,10,20,0.0
8,1,4,Monotonic,4,"{""lambda"": 10.0}",0.8711111111111112,10,19,0.0
8,1,5,Monotonic,4,"{""lambda"": 10.0}",0.75,10,20,0.0
8,1,1,L2,0,"{""lambda"": 0.001}",0.3882034632034632,65,21,
8,1,2,L2,0,"{""lambda"": 0.001}",0.5533333333333332,77,21,
8,1,3,L2,0,"{""lambda"": 0.001}",0.6116666666666666,65,21,
8,1,4,L2,0,"{""lambda"": 0.001}",0.7644444444444445,80,21,
8,1,5,L2,0,"{""lambda"": 0.001}",0.5682539682539682,68,21,
8,1,1,L2,1,"{""lambda"": 0.01}",0.4575757575757575,33,21,
8,1,2,L2,1,"{""lambda"": 0.01}",0.6000000000000001,36,21,
8,1,3,L2,1,"{""lambda"": 0.01}",0.8766666666666667,34,21,
8,1,4,L2,1,"{""lambda"": 0.01}",0.7944444444444445,38,21,
8,1,5,L2,1,"{""lambda"": 0.01}",0.6349206349206349,33,21,
8,1,1,L2,2,"{""lambda"": 0.1}",0.4866666666666666,16,21,
8,1,2,L2,2,"{""lambda"": 0.1}",0.6222222222222222,16,21,
8,1,3,L2,2,"{""lambda"": 0.1}",0.8766666666666667,16,21,
8,1,4,L2,2,"{""lambda"": 0.1}",0.8211111111111111,17,21,
8,1,5,L2,2,"{""lambda"": 0.1}",0.75,15,21,
8,1,1,L2,3,"{""lambda"": 1.0}",0.4920634920634921,11,21,
8,1,2,L2,3,"{""lambda"": 1.0}",0.6422222222222222,11,21,
8,1,3,L2,3,"{""lambda"": 1.0}",0.9266666666666665,11,21,
8,1,4,L2,3,"{""lambda"": 1.0}",0.8711111111111112,11,21,
8,1,5,L2,3,"{""lambda"": 1.0}",0.75,11,21,
8,1,1,L2,4,"{""lambda"": 10.0}",0.4920634920634921,10,21,
8,1,2,L2,4,"{""lambda"": 10.0}",0.6644444444444444,10,21,
8,1,3,L2,4,"{""lambda"": 10.0}",0.9666666666666666,10,21,
8,1,4,L2,4,"{""lambda"": 10.0}",0.8711111111111112,10,21,
8,1,5,L2,4,"{""lambda"": 10.0}",0.75,10,21,
8,1,1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.3882034632034632,7141,21,
8,1,2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.5533333333333332,5981,21,
8,1,3,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.6116666666666666,3655,21,
8,1,4,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.7644444444444445,6756,21,
8,1,5,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.5682539682539682,6052,21,
8,1,1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.3798701298701299,10296,21,
8,1,2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.5533333333333332,9070,21,
8,1,3,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.6116666666666666,4526,21,
8,1,4,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.7644444444444445,10193,21,
8,1,5,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.5682539682539682,8603,21,
8,1,1,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.3798701298701299,23014,21,
8,1,2,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.5833333333333333,26957,21,
8,1,3,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.5592857142857143,6227,21,
8,1,4,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.7644444444444445,19401,19,
8,1,5,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.5682539682539682,18023,20,
8,1,1,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.4575757575757575,1028,21,
8,1,2,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.6000000000000001,1030,21,
8,1,3,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.8766666666666667,722,21,
8,1,4,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.7944444444444445,1057,21,
8,1,5,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.6349206349206349,821,21,
8,1,1,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.4666666666666667,1026,19,
8,1,2,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.6199999999999999,1563,20,
8,1,3,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.8766666666666667,652,19,
8,1,4,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.7944444444444445,1614,19,
8,1,5,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.6349206349206349,1148,21,
8,1,1,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.47777777777777775,1549,19,
8,1,2,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.6088888888888888,2707,18,
8,1,3,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.8766666666666667,832,16,
8,1,4,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.7644444444444445,2572,18,
8,1,5,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.7361111111111112,1705,19,
8,1,1,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.4666666666666667,155,20,
