repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
8,7042,1,Monotonic,56,15,0.62995337995338,0.4666666666666667,0.7488571428571429,"{""lambda"": 10.0}",10.0,20.0,0.0,
8,7042,1,L2,56,15,0.62995337995338,0.4666666666666667,0.7488571428571429,"{""lambda"": 10.0}",10.0,21.0,,
8,7042,1,Elastic Net,56,15,0.5903318903318904,0.4666666666666667,0.7264206349206349,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",148.0,9.0,,
8,7042,1,SVM,56,15,0.5166143380429095,0.4666666666666667,0.7290158730158729,"{""C"": 0.01, ""gamma"": ""scale""}",30.0,21.0,,
8,7042,1,Inner-selected,56,15,0.62995337995338,0.4666666666666667,,,,,,Monotonic
8,7042,2,Monotonic,57,14,0.7120370370370369,0.42857142857142855,0.8119047619047619,"{""lambda"": 10.0}",10.0,19.0,0.0,
8,7042,2,L2,57,14,0.7120370370370369,0.42857142857142855,0.7835714285714284,"{""lambda"": 10.0}",10.0,21.0,,
8,7042,2,Elastic Net,57,14,0.6489417989417989,0.42857142857142855,0.7414040404040405,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",114.0,4.0,,
8,7042,2,SVM,57,14,0.7027777777777777,0.42857142857142855,0.7444733044733045,"{""C"": 0.01, ""gamma"": 0.01}",29.0,21.0,,
8,7042,2,Inner-selected,57,14,0.7120370370370369,0.42857142857142855,,,,,,Monotonic
8,7042,3,Monotonic,57,14,0.8819444444444444,0.42857142857142855,0.6860548340548341,"{""lambda"": 1.0}",12.0,19.0,0.0,
8,7042,3,L2,57,14,0.8819444444444444,0.42857142857142855,0.6736738816738816,"{""lambda"": 1.0}",11.0,21.0,,
8,7042,3,Elastic Net,57,14,0.9166666666666665,0.42857142857142855,0.6625079365079365,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",79.0,6.0,,
8,7042,3,SVM,57,14,0.7634920634920634,0.42857142857142855,0.6251414141414142,"{""C"": 10.0, ""gamma"": ""scale""}",195.0,21.0,,
8,7042,3,Inner-selected,57,14,0.8819444444444444,0.42857142857142855,,,,,,Monotonic
8,7042,4,Monotonic,57,14,0.46957671957671965,0.42857142857142855,0.7175945165945166,"{""lambda"": 10.0}",10.0,19.0,0.0,
8,7042,4,L2,57,14,0.4973544973544974,0.42857142857142855,0.721165945165945,"{""lambda"": 10.0}",10.0,21.0,,
8,7042,4,Elastic Net,57,14,0.5092592592592593,0.42857142857142855,0.7430317460317462,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",52.0,7.0,,
8,7042,4,SVM,57,14,0.5234487734487735,0.42857142857142855,0.6381890331890332,"{""C"": 1.0, ""gamma"": 0.01}",38.0,21.0,,
8,7042,4,Inner-selected,57,14,0.5092592592592593,0.42857142857142855,,,,,,Elastic Net
8,7042,5,Monotonic,57,14,0.5981842231842233,0.42857142857142855,0.7358253968253968,"{""lambda"": 1.0}",12.0,19.0,0.0,
8,7042,5,L2,57,14,0.5906084656084657,0.42857142857142855,0.7315238095238096,"{""lambda"": 1.0}",11.0,21.0,,
8,7042,5,Elastic Net,57,14,0.5444444444444444,0.42857142857142855,0.7214834054834054,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",130.0,16.0,,
8,7042,5,SVM,57,14,0.5694444444444444,0.42857142857142855,0.680966810966811,"{""C"": 1.0, ""gamma"": 0.01}",35.0,21.0,,
8,7042,5,Inner-selected,57,14,0.5981842231842233,0.42857142857142855,,,,,,Monotonic
