fold,n_train,n_test,n_positive_test,l2,pr_auc_average_precision,baseline_prevalence
1,56,15,7,10.0,0.5960626674912389,0.4666666666666667
2,57,14,6,10.0,0.47222222222222215,0.42857142857142855
3,57,14,6,1.0,0.8432900432900432,0.42857142857142855
4,57,14,6,1.0,0.8972222222222221,0.42857142857142855
5,57,14,6,10.0,0.4574425574425575,0.42857142857142855
