repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
10,1,1,Monotonic,0,"{""lambda"": 0.001}",0.6726190476190477,44,16,0.0
10,1,2,Monotonic,0,"{""lambda"": 0.001}",0.45238095238095233,40,16,0.0
10,1,3,Monotonic,0,"{""lambda"": 0.001}",0.42646464646464644,51,17,0.0
10,1,4,Monotonic,0,"{""lambda"": 0.001}",0.7797979797979797,36,15,0.0
10,1,5,Monotonic,0,"{""lambda"": 0.001}",0.6220238095238095,31,15,0.0
10,1,1,Monotonic,1,"{""lambda"": 0.01}",0.7783333333333333,28,16,0.0
10,1,2,Monotonic,1,"{""lambda"": 0.01}",0.45238095238095233,26,17,0.0
10,1,3,Monotonic,1,"{""lambda"": 0.01}",0.42146464646464643,27,17,0.0
10,1,4,Monotonic,1,"{""lambda"": 0.01}",0.7388888888888889,29,15,0.0
10,1,5,Monotonic,1,"{""lambda"": 0.01}",0.6220238095238095,24,15,0.0
10,1,1,Monotonic,2,"{""lambda"": 0.1}",0.6926190476190477,16,18,0.0
10,1,2,Monotonic,2,"{""lambda"": 0.1}",0.48571428571428565,16,18,0.0
10,1,3,Monotonic,2,"{""lambda"": 0.1}",0.42146464646464643,16,18,0.0
10,1,4,Monotonic,2,"{""lambda"": 0.1}",0.8,15,17,0.0
10,1,5,Monotonic,2,"{""lambda"": 0.1}",0.7928571428571428,14,18,0.0
10,1,1,Monotonic,3,"{""lambda"": 1.0}",0.6644444444444444,12,19,0.0
10,1,2,Monotonic,3,"{""lambda"": 1.0}",0.7116666666666667,12,19,0.0
10,1,3,Monotonic,3,"{""lambda"": 1.0}",0.42146464646464643,12,20,0.0
10,1,4,Monotonic,3,"{""lambda"": 1.0}",0.8444444444444443,12,18,0.0
10,1,5,Monotonic,3,"{""lambda"": 1.0}",0.7470238095238095,12,18,0.0
10,1,1,Monotonic,4,"{""lambda"": 10.0}",0.5644444444444444,10,19,0.0
10,1,2,Monotonic,4,"{""lambda"": 10.0}",0.7961904761904761,10,19,0.0
10,1,3,Monotonic,4,"{""lambda"": 10.0}",0.45479797979797976,10,20,0.0
10,1,4,Monotonic,4,"{""lambda"": 10.0}",0.8711111111111112,10,18,0.0
10,1,5,Monotonic,4,"{""lambda"": 10.0}",0.7470238095238095,10,18,0.0
10,1,1,L2,0,"{""lambda"": 0.001}",0.5366666666666666,57,21,
10,1,2,L2,0,"{""lambda"": 0.001}",0.43757575757575756,65,21,
10,1,3,L2,0,"{""lambda"": 0.001}",0.3786075036075036,68,21,
10,1,4,L2,0,"{""lambda"": 0.001}",0.645909090909091,62,21,
10,1,5,L2,0,"{""lambda"": 0.001}",0.5845238095238094,50,21,
10,1,1,L2,1,"{""lambda"": 0.01}",0.7442424242424241,32,21,
10,1,2,L2,1,"{""lambda"": 0.01}",0.4634920634920635,32,21,
10,1,3,L2,1,"{""lambda"": 0.01}",0.40146464646464647,31,21,
10,1,4,L2,1,"{""lambda"": 0.01}",0.5792424242424242,33,21,
10,1,5,L2,1,"{""lambda"": 0.01}",0.5845238095238094,31,21,
10,1,1,L2,2,"{""lambda"": 0.1}",0.7253968253968255,17,21,
10,1,2,L2,2,"{""lambda"": 0.1}",0.519047619047619,16,21,
10,1,3,L2,2,"{""lambda"": 0.1}",0.42146464646464643,16,21,
10,1,4,L2,2,"{""lambda"": 0.1}",0.75,17,21,
10,1,5,L2,2,"{""lambda"": 0.1}",0.7095238095238094,17,21,
10,1,1,L2,3,"{""lambda"": 1.0}",0.5311111111111111,11,21,
10,1,2,L2,3,"{""lambda"": 1.0}",0.6644444444444444,11,21,
10,1,3,L2,3,"{""lambda"": 1.0}",0.42146464646464643,11,21,
10,1,4,L2,3,"{""lambda"": 1.0}",0.8253968253968254,10,21,
10,1,5,L2,3,"{""lambda"": 1.0}",0.7470238095238095,11,21,
10,1,1,L2,4,"{""lambda"": 10.0}",0.5644444444444444,10,21,
10,1,2,L2,4,"{""lambda"": 10.0}",0.7961904761904761,10,21,
10,1,3,L2,4,"{""lambda"": 10.0}",0.4321789321789321,10,21,
10,1,4,L2,4,"{""lambda"": 10.0}",0.7944444444444445,10,21,
10,1,5,L2,4,"{""lambda"": 10.0}",0.7470238095238095,10,21,
10,1,1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.5366666666666666,4803,21,
10,1,2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.43757575757575756,6419,21,
10,1,3,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.3786075036075036,7674,21,
10,1,4,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.645909090909091,4214,21,
10,1,5,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.5845238095238094,1941,21,
