outer_fold,model,candidate,parameters,inner_fold,validation_ap,iterations,nonzero_features,violations
1,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",5,0.8875,5626,20,
1,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",1,0.7783333333333333,637,20,
1,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",2,0.37177489177489176,863,20,
1,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",3,0.6444444444444444,654,21,
1,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",4,0.800909090909091,909,20,
1,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",5,0.95,743,20,
1,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",1,0.8261904761904761,734,18,
1,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",2,0.3466666666666666,1108,18,
1,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",3,0.6444444444444444,949,21,
1,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",4,0.7742424242424242,1003,15,
1,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",5,0.95,852,17,
1,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",1,0.8261904761904761,902,16,
1,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",2,0.33939393939393936,1607,16,
1,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",3,0.6587301587301588,1604,20,
1,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",4,0.7742424242424242,1142,12,
1,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",5,0.95,792,14,
1,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",1,0.7861904761904761,146,16,
1,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",2,0.5119408369408369,145,20,
1,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",3,0.6587301587301588,120,19,
1,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",4,0.6433333333333333,144,17,
1,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",5,0.95,162,17,
1,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",1,0.885,188,10,
1,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",2,0.5366233766233766,174,10,
1,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",3,0.7611111111111111,140,11,
1,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",4,0.8211111111111111,185,8,
1,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",5,0.8166666666666667,219,7,
1,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",1,0.6644444444444444,298,4,
1,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",2,0.5214646464646464,329,7,
1,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",3,0.8111111111111111,226,7,
1,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",4,0.7416666666666667,210,5,
1,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",5,0.6678571428571429,136,4,
1,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",1,0.6644444444444444,90,6,
1,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",2,0.5634920634920635,82,9,
1,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",3,0.8111111111111111,72,10,
1,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",4,0.885,85,9,
1,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",5,0.7928571428571428,86,7,
1,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",1,0.4166666666666667,3,0,
1,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",2,0.4166666666666667,3,0,
1,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",3,0.45454545454545453,3,0,
1,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",4,0.45454545454545453,3,0,
1,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",5,0.4,1,0,
1,Elastic Net,11,"{""lambda"": 1.0, ""l1_ratio"": 0.9}",1,0.4166666666666667,1,0,
1,Elastic Net,11,"{""lambda"": 1.0, ""l1_ratio"": 0.9}",2,0.4166666666666667,3,0,
1,Elastic Net,11,"{""lambda"": 1.0, ""l1_ratio"": 0.9}",3,0.45454545454545453,3,0,
1,Elastic Net,11,"{""lambda"": 1.0, ""l1_ratio"": 0.9}",4,0.45454545454545453,3,0,
1,Elastic Net,11,"{""lambda"": 1.0, ""l1_ratio"": 0.9}",5,0.4,1,0,
1,Elastic Net,12,"{""lambda"": 10.0, ""l1_ratio"": 0.1}",1,0.4166666666666667,1,0,
1,Elastic Net,12,"{""lambda"": 10.0, ""l1_ratio"": 0.1}",2,0.4166666666666667,1,0,
1,Elastic Net,12,"{""lambda"": 10.0, ""l1_ratio"": 0.1}",3,0.45454545454545453,3,0,
1,Elastic Net,12,"{""lambda"": 10.0, ""l1_ratio"": 0.1}",4,0.45454545454545453,1,0,
1,Elastic Net,12,"{""lambda"": 10.0, ""l1_ratio"": 0.1}",5,0.4,1,0,
1,Elastic Net,13,"{""lambda"": 10.0, ""l1_ratio"": 0.5}",1,0.4166666666666667,1,0,
