repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
5,4042,1,Monotonic,56,15,0.5746340960626675,0.4666666666666667,0.7484264069264068,"{""lambda"": 1.0}",12.0,18.0,0.0,
5,4042,1,L2,56,15,0.5923469387755101,0.4666666666666667,0.7484264069264068,"{""lambda"": 1.0}",11.0,21.0,,
5,4042,1,Elastic Net,56,15,0.5286023500309214,0.4666666666666667,0.7369437229437229,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",71.0,7.0,,
5,4042,1,SVM,56,15,0.5607452071737785,0.4666666666666667,0.7186803751803751,"{""C"": 0.01, ""gamma"": 0.01}",27.0,21.0,,
5,4042,1,Inner-selected,56,15,0.5746340960626675,0.4666666666666667,,,,,,Monotonic
5,4042,2,Monotonic,57,14,0.746067821067821,0.42857142857142855,0.7432929292929293,"{""lambda"": 0.1}",14.0,16.0,0.0,
5,4042,2,L2,57,14,0.7794011544011543,0.42857142857142855,0.6922611832611832,"{""lambda"": 1.0}",11.0,21.0,,
5,4042,2,Elastic Net,57,14,0.8833333333333333,0.42857142857142855,0.704054834054834,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",141.0,5.0,,
5,4042,2,SVM,57,14,0.63743894993895,0.42857142857142855,0.6720707070707069,"{""C"": 0.01, ""gamma"": 0.01}",28.0,21.0,,
5,4042,2,Inner-selected,57,14,0.746067821067821,0.42857142857142855,,,,,,Monotonic
5,4042,3,Monotonic,57,14,0.38359788359788366,0.42857142857142855,0.8493650793650793,"{""lambda"": 0.1}",15.0,17.0,0.0,
5,4042,3,L2,57,14,0.3708485958485959,0.42857142857142855,0.8336825396825397,"{""lambda"": 0.1}",17.0,21.0,,
5,4042,3,Elastic Net,57,14,0.34247557997558,0.42857142857142855,0.815070707070707,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",1591.0,19.0,,
5,4042,3,SVM,57,14,0.4039983164983165,0.42857142857142855,0.7802929292929293,"{""C"": 1.0, ""gamma"": 0.01}",40.0,21.0,,
5,4042,3,Inner-selected,57,14,0.38359788359788366,0.42857142857142855,,,,,,Monotonic
5,4042,4,Monotonic,57,14,0.7806267806267806,0.42857142857142855,0.7236031746031746,"{""lambda"": 10.0}",10.0,19.0,0.0,
5,4042,4,L2,57,14,0.787037037037037,0.42857142857142855,0.6979206349206348,"{""lambda"": 10.0}",10.0,21.0,,
5,4042,4,Elastic Net,57,14,0.7285353535353535,0.42857142857142855,0.6849999999999999,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",110.0,3.0,,
5,4042,4,SVM,57,14,0.75,0.42857142857142855,0.7024834054834054,"{""C"": 0.01, ""gamma"": 0.01}",28.0,21.0,,
5,4042,4,Inner-selected,57,14,0.7806267806267806,0.42857142857142855,,,,,,Monotonic
5,4042,5,Monotonic,57,14,0.7297008547008547,0.42857142857142855,0.6831428571428572,"{""lambda"": 10.0}",10.0,19.0,0.0,
5,4042,5,L2,57,14,0.7297008547008547,0.42857142857142855,0.6694920634920635,"{""lambda"": 1.0}",10.0,21.0,,
5,4042,5,Elastic Net,57,14,0.7056878306878307,0.42857142857142855,0.6810793650793651,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",72.0,8.0,,
5,4042,5,SVM,57,14,0.7297008547008547,0.42857142857142855,0.6902063492063492,"{""C"": 1.0, ""gamma"": 0.01}",39.0,21.0,,
5,4042,5,Inner-selected,57,14,0.7297008547008547,0.42857142857142855,,,,,,SVM
