repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
5,1,1,Monotonic,0,"{""lambda"": 0.001}",0.7833333333333332,30,16,0.0
5,1,2,Monotonic,0,"{""lambda"": 0.001}",0.44939393939393935,29,13,0.0
5,1,3,Monotonic,0,"{""lambda"": 0.001}",0.6587301587301588,28,14,0.0
5,1,4,Monotonic,0,"{""lambda"": 0.001}",0.6976190476190476,22,13,0.0
5,1,5,Monotonic,0,"{""lambda"": 0.001}",0.4303571428571428,29,15,0.0
5,1,1,Monotonic,1,"{""lambda"": 0.01}",0.8261904761904761,30,16,0.0
5,1,2,Monotonic,1,"{""lambda"": 0.01}",0.5493939393939393,24,14,0.0
5,1,3,Monotonic,1,"{""lambda"": 0.01}",0.6444444444444444,24,14,0.0
5,1,4,Monotonic,1,"{""lambda"": 0.01}",0.7753968253968253,19,13,0.0
5,1,5,Monotonic,1,"{""lambda"": 0.01}",0.4303571428571428,24,15,0.0
5,1,1,Monotonic,2,"{""lambda"": 0.1}",0.8528571428571428,16,19,0.0
5,1,2,Monotonic,2,"{""lambda"": 0.1}",0.6160606060606061,17,19,0.0
5,1,3,Monotonic,2,"{""lambda"": 0.1}",0.7253968253968255,14,16,0.0
5,1,4,Monotonic,2,"{""lambda"": 0.1}",0.8253968253968254,15,15,0.0
5,1,5,Monotonic,2,"{""lambda"": 0.1}",0.5595238095238095,16,19,0.0
5,1,1,Monotonic,3,"{""lambda"": 1.0}",0.7892857142857141,12,19,0.0
5,1,2,Monotonic,3,"{""lambda"": 1.0}",0.5643939393939394,12,19,0.0
5,1,3,Monotonic,3,"{""lambda"": 1.0}",0.7592857142857143,12,18,0.0
5,1,4,Monotonic,3,"{""lambda"": 1.0}",0.8583333333333332,12,18,0.0
5,1,5,Monotonic,3,"{""lambda"": 1.0}",0.7708333333333333,12,20,0.0
5,1,1,Monotonic,4,"{""lambda"": 10.0}",0.7592857142857143,10,21,0.0
5,1,2,Monotonic,4,"{""lambda"": 10.0}",0.5472222222222223,10,19,0.0
5,1,3,Monotonic,4,"{""lambda"": 10.0}",0.7116666666666667,10,19,0.0
5,1,4,Monotonic,4,"{""lambda"": 10.0}",0.8761904761904762,10,18,0.0
5,1,5,Monotonic,4,"{""lambda"": 10.0}",0.7708333333333333,10,20,0.0
5,1,1,L2,0,"{""lambda"": 0.001}",0.6433333333333333,58,21,
5,1,2,L2,0,"{""lambda"": 0.001}",0.4893939393939394,69,21,
5,1,3,L2,0,"{""lambda"": 0.001}",0.6053968253968254,65,21,
5,1,4,L2,0,"{""lambda"": 0.001}",0.5222222222222221,47,21,
5,1,5,L2,0,"{""lambda"": 0.001}",0.36408730158730157,65,21,
5,1,1,L2,1,"{""lambda"": 0.01}",0.6433333333333333,33,21,
5,1,2,L2,1,"{""lambda"": 0.01}",0.4960606060606061,35,21,
5,1,3,L2,1,"{""lambda"": 0.01}",0.5800000000000001,32,21,
5,1,4,L2,1,"{""lambda"": 0.01}",0.6722222222222223,33,21,
5,1,5,L2,1,"{""lambda"": 0.01}",0.4125,32,21,
5,1,1,L2,2,"{""lambda"": 0.1}",0.7683333333333333,17,21,
5,1,2,L2,2,"{""lambda"": 0.1}",0.5493939393939393,16,21,
5,1,3,L2,2,"{""lambda"": 0.1}",0.5942857142857143,16,21,
5,1,4,L2,2,"{""lambda"": 0.1}",0.8111111111111111,18,21,
5,1,5,L2,2,"{""lambda"": 0.1}",0.6083333333333333,17,21,
5,1,1,L2,3,"{""lambda"": 1.0}",0.7892857142857141,11,21,
5,1,2,L2,3,"{""lambda"": 1.0}",0.531060606060606,10,21,
5,1,3,L2,3,"{""lambda"": 1.0}",0.7592857142857143,11,21,
5,1,4,L2,3,"{""lambda"": 1.0}",0.8583333333333332,11,21,
5,1,5,L2,3,"{""lambda"": 1.0}",0.8041666666666667,11,21,
5,1,1,L2,4,"{""lambda"": 10.0}",0.7592857142857143,10,21,
5,1,2,L2,4,"{""lambda"": 10.0}",0.511060606060606,10,21,
5,1,3,L2,4,"{""lambda"": 10.0}",0.7592857142857143,10,21,
5,1,4,L2,4,"{""lambda"": 10.0}",0.8761904761904762,10,21,
5,1,5,L2,4,"{""lambda"": 10.0}",0.8041666666666667,10,21,
