fold,n_train,n_test,alpha,mae_log1p,rmse_log1p,mean_baseline_mae_log1p,persistence_mae_log1p
1,56,15,100.0,0.3131323232914201,0.4446571978590997,0.3074805783562971,0.44631086009098775
2,57,14,100.0,0.3088240844198532,0.4944383752833756,0.32448671618989056,0.4800684301959532
3,57,14,100.0,0.338107592839308,0.5640376161298598,0.35560294267568077,0.5613424811889347
4,57,14,100.0,0.3157214011392774,0.49822273607791895,0.32650193636791913,0.5036153373150986
5,57,14,100.0,0.35646040429258746,0.5856029467528278,0.35796004649682905,0.5680202293264577
