repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
17,16042,1,Monotonic,56,15,0.7500832500832499,0.4666666666666667,0.740975468975469,"{""lambda"": 10.0}",10.0,19.0,0.0,
17,16042,1,L2,56,15,0.607936507936508,0.4666666666666667,0.7179278499278497,"{""lambda"": 10.0}",10.0,21.0,,
17,16042,1,Elastic Net,56,15,0.528061224489796,0.4666666666666667,0.7520786435786435,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",284.0,4.0,,
17,16042,1,SVM,56,15,0.40246856318284896,0.4666666666666667,0.7083484848484849,"{""C"": 0.01, ""gamma"": 0.1}",41.0,21.0,,
17,16042,1,Inner-selected,56,15,0.528061224489796,0.4666666666666667,,,,,,Elastic Net
17,16042,2,Monotonic,57,14,0.688034188034188,0.42857142857142855,0.6834126984126984,"{""lambda"": 10.0}",10.0,20.0,0.0,
17,16042,2,L2,57,14,0.688034188034188,0.42857142857142855,0.6767460317460318,"{""lambda"": 10.0}",10.0,21.0,,
17,16042,2,Elastic Net,57,14,0.574963924963925,0.42857142857142855,0.6808326118326118,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",123.0,18.0,,
17,16042,2,SVM,57,14,0.6344627594627594,0.42857142857142855,0.6459278499278499,"{""C"": 1.0, ""gamma"": 0.01}",40.0,21.0,,
17,16042,2,Inner-selected,57,14,0.688034188034188,0.42857142857142855,,,,,,Monotonic
17,16042,3,Monotonic,57,14,0.7675925925925925,0.42857142857142855,0.7284357864357863,"{""lambda"": 1.0}",12.0,19.0,0.0,
17,16042,3,L2,57,14,0.6723905723905724,0.42857142857142855,0.7084357864357864,"{""lambda"": 1.0}",10.0,21.0,,
17,16042,3,Elastic Net,57,14,0.6260942760942761,0.42857142857142855,0.7445238095238096,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",94.0,2.0,,
17,16042,3,SVM,57,14,0.6537037037037037,0.42857142857142855,0.6810995670995672,"{""C"": 100.0, ""gamma"": 0.01}",684.0,21.0,,
17,16042,3,Inner-selected,57,14,0.6260942760942761,0.42857142857142855,,,,,,Elastic Net
17,16042,4,Monotonic,57,14,0.5591982091982092,0.42857142857142855,0.7597287157287157,"{""lambda"": 0.001}",29.0,15.0,0.0,
17,16042,4,L2,57,14,0.6306267806267806,0.42857142857142855,0.7223953823953824,"{""lambda"": 0.1}",17.0,21.0,,
17,16042,4,Elastic Net,57,14,0.6147537647537648,0.42857142857142855,0.7246176046176046,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",101.0,19.0,,
17,16042,4,SVM,57,14,0.5785714285714285,0.42857142857142855,0.6994675324675323,"{""C"": 1.0, ""gamma"": 0.01}",34.0,21.0,,
17,16042,4,Inner-selected,57,14,0.5591982091982092,0.42857142857142855,,,,,,Monotonic
17,16042,5,Monotonic,57,14,0.6458333333333334,0.42857142857142855,0.7035858585858585,"{""lambda"": 10.0}",10.0,19.0,0.0,
17,16042,5,L2,57,14,0.6458333333333334,0.42857142857142855,0.7214430014430014,"{""lambda"": 10.0}",10.0,21.0,,
17,16042,5,Elastic Net,57,14,0.7801587301587302,0.42857142857142855,0.718030303030303,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",78.0,8.0,,
17,16042,5,SVM,57,14,0.6402777777777778,0.42857142857142855,0.6194430014430015,"{""C"": 0.01, ""gamma"": 0.01}",26.0,21.0,,
17,16042,5,Inner-selected,57,14,0.6458333333333334,0.42857142857142855,,,,,,L2
