repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
17,1,1,Monotonic,0,"{""lambda"": 0.001}",0.4881313131313131,31,14,0.0
17,1,2,Monotonic,0,"{""lambda"": 0.001}",0.6542424242424243,43,16,0.0
17,1,3,Monotonic,0,"{""lambda"": 0.001}",0.6961904761904762,36,15,0.0
17,1,4,Monotonic,0,"{""lambda"": 0.001}",0.6087301587301587,31,16,0.0
17,1,5,Monotonic,0,"{""lambda"": 0.001}",0.5178571428571428,30,16,0.0
17,1,1,Monotonic,1,"{""lambda"": 0.01}",0.46551226551226543,29,16,0.0
17,1,2,Monotonic,1,"{""lambda"": 0.01}",0.6542424242424243,29,17,0.0
17,1,3,Monotonic,1,"{""lambda"": 0.01}",0.6961904761904762,26,16,0.0
17,1,4,Monotonic,1,"{""lambda"": 0.01}",0.7087301587301587,25,16,0.0
17,1,5,Monotonic,1,"{""lambda"": 0.01}",0.6178571428571429,27,16,0.0
17,1,1,Monotonic,2,"{""lambda"": 0.1}",0.5988455988455987,14,17,0.0
17,1,2,Monotonic,2,"{""lambda"": 0.1}",0.7209090909090909,15,16,0.0
17,1,3,Monotonic,2,"{""lambda"": 0.1}",0.7416666666666667,16,17,0.0
17,1,4,Monotonic,2,"{""lambda"": 0.1}",0.7087301587301587,17,18,0.0
17,1,5,Monotonic,2,"{""lambda"": 0.1}",0.6178571428571429,14,17,0.0
17,1,1,Monotonic,3,"{""lambda"": 1.0}",0.5655122655122655,10,18,0.0
17,1,2,Monotonic,3,"{""lambda"": 1.0}",0.75,12,18,0.0
17,1,3,Monotonic,3,"{""lambda"": 1.0}",0.8766666666666667,12,17,0.0
17,1,4,Monotonic,3,"{""lambda"": 1.0}",0.7087301587301587,12,19,0.0
17,1,5,Monotonic,3,"{""lambda"": 1.0}",0.6178571428571429,12,20,0.0
17,1,1,Monotonic,4,"{""lambda"": 10.0}",0.5655122655122655,10,19,0.0
17,1,2,Monotonic,4,"{""lambda"": 10.0}",0.7944444444444445,9,18,0.0
17,1,3,Monotonic,4,"{""lambda"": 10.0}",0.9266666666666665,10,18,0.0
17,1,4,Monotonic,4,"{""lambda"": 10.0}",0.7753968253968253,10,19,0.0
17,1,5,Monotonic,4,"{""lambda"": 10.0}",0.6428571428571428,10,20,0.0
17,1,1,L2,0,"{""lambda"": 0.001}",0.45979797979797976,76,21,
17,1,2,L2,0,"{""lambda"": 0.001}",0.6242424242424243,66,21,
17,1,3,L2,0,"{""lambda"": 0.001}",0.4157142857142857,72,21,
17,1,4,L2,0,"{""lambda"": 0.001}",0.5976190476190476,54,21,
17,1,5,L2,0,"{""lambda"": 0.001}",0.6458333333333333,51,21,
17,1,1,L2,1,"{""lambda"": 0.01}",0.5655122655122655,37,21,
17,1,2,L2,1,"{""lambda"": 0.01}",0.6909090909090909,36,21,
17,1,3,L2,1,"{""lambda"": 0.01}",0.3847979797979798,37,21,
17,1,4,L2,1,"{""lambda"": 0.01}",0.6087301587301587,35,21,
17,1,5,L2,1,"{""lambda"": 0.01}",0.6791666666666667,30,21,
17,1,1,L2,2,"{""lambda"": 0.1}",0.5797979797979798,16,21,
17,1,2,L2,2,"{""lambda"": 0.1}",0.6909090909090909,17,21,
17,1,3,L2,2,"{""lambda"": 0.1}",0.5597979797979797,16,21,
17,1,4,L2,2,"{""lambda"": 0.1}",0.7087301587301587,18,21,
17,1,5,L2,2,"{""lambda"": 0.1}",0.5845238095238094,16,21,
17,1,1,L2,3,"{""lambda"": 1.0}",0.5797979797979798,11,21,
17,1,2,L2,3,"{""lambda"": 1.0}",0.75,10,21,
17,1,3,L2,3,"{""lambda"": 1.0}",0.7783333333333333,10,21,
17,1,4,L2,3,"{""lambda"": 1.0}",0.7611111111111111,10,21,
17,1,5,L2,3,"{""lambda"": 1.0}",0.5428571428571429,11,21,
17,1,1,L2,4,"{""lambda"": 10.0}",0.5455122655122655,10,21,
17,1,2,L2,4,"{""lambda"": 10.0}",0.7753968253968253,9,21,
17,1,3,L2,4,"{""lambda"": 10.0}",0.9266666666666665,10,21,
17,1,4,L2,4,"{""lambda"": 10.0}",0.7753968253968253,10,21,
17,1,5,L2,4,"{""lambda"": 10.0}",0.5666666666666667,10,21,
17,1,1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.45979797979797976,3880,21,
17,1,2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.6242424242424243,4408,21,
17,1,3,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.4157142857142857,6057,21,
17,1,4,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.5976190476190476,2846,21,
17,1,5,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.6458333333333333,2236,21,
17,1,1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.45979797979797976,4920,21,
17,1,2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.6242424242424243,5961,21,
17,1,3,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.4157142857142857,8838,21,
17,1,4,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.5976190476190476,3312,21,
17,1,5,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.5666666666666667,2421,21,
17,1,1,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.4566233766233766,9471,20,
17,1,2,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.6542424242424243,8500,19,
