repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
7,6042,1,Monotonic,56,15,0.7103174603174602,0.4666666666666667,0.732,"{""lambda"": 10.0}",10.0,20.0,0.0,
7,6042,1,L2,56,15,0.7168109668109668,0.4666666666666667,0.724,"{""lambda"": 10.0}",10.0,21.0,,
7,6042,1,Elastic Net,56,15,0.8155594405594404,0.4666666666666667,0.6862380952380953,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",75.0,8.0,,
7,6042,1,SVM,56,15,0.6762515262515263,0.4666666666666667,0.6812135642135642,"{""C"": 0.01, ""gamma"": 0.01}",25.0,21.0,,
7,6042,1,Inner-selected,56,15,0.7103174603174602,0.4666666666666667,,,,,,Monotonic
7,6042,2,Monotonic,57,14,0.4221861471861472,0.42857142857142855,0.7264920634920635,"{""lambda"": 1.0}",12.0,19.0,0.0,
7,6042,2,L2,57,14,0.4296647796647797,0.42857142857142855,0.7372698412698412,"{""lambda"": 1.0}",10.0,21.0,,
7,6042,2,Elastic Net,57,14,0.46114718614718614,0.42857142857142855,0.7058253968253968,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",73.0,7.0,,
7,6042,2,SVM,57,14,0.4296647796647797,0.42857142857142855,0.7165238095238096,"{""C"": 1.0, ""gamma"": 0.01}",45.0,21.0,,
7,6042,2,Inner-selected,57,14,0.4296647796647797,0.42857142857142855,,,,,,L2
7,6042,3,Monotonic,57,14,0.7066498316498316,0.42857142857142855,0.7522222222222222,"{""lambda"": 10.0}",10.0,18.0,0.0,
7,6042,3,L2,57,14,0.7066498316498316,0.42857142857142855,0.740031746031746,"{""lambda"": 1.0}",11.0,21.0,,
7,6042,3,Elastic Net,57,14,0.6574074074074073,0.42857142857142855,0.7283015873015873,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",139.0,8.0,,
7,6042,3,SVM,57,14,0.5200396825396825,0.42857142857142855,0.7793650793650793,"{""C"": 10.0, ""gamma"": ""scale""}",158.0,21.0,,
7,6042,3,Inner-selected,57,14,0.5200396825396825,0.42857142857142855,,,,,,SVM
7,6042,4,Monotonic,57,14,0.723647186147186,0.42857142857142855,0.718118326118326,"{""lambda"": 0.1}",16.0,17.0,0.0,
7,6042,4,L2,57,14,0.7634920634920634,0.42857142857142855,0.7088253968253968,"{""lambda"": 0.1}",17.0,21.0,,
7,6042,4,Elastic Net,57,14,0.7634920634920634,0.42857142857142855,0.7185627705627706,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",66.0,18.0,,
7,6042,4,SVM,57,14,0.739520202020202,0.42857142857142855,0.7174199134199134,"{""C"": 0.01, ""gamma"": 0.01}",27.0,21.0,,
7,6042,4,Inner-selected,57,14,0.7634920634920634,0.42857142857142855,,,,,,Elastic Net
7,6042,5,Monotonic,57,14,0.7166666666666667,0.42857142857142855,0.7169033189033188,"{""lambda"": 10.0}",10.0,19.0,0.0,
7,6042,5,L2,57,14,0.7027777777777778,0.42857142857142855,0.7173549783549784,"{""lambda"": 1.0}",11.0,21.0,,
7,6042,5,Elastic Net,57,14,0.7579365079365078,0.42857142857142855,0.7121731601731602,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",68.0,6.0,,
7,6042,5,SVM,57,14,0.6825757575757576,0.42857142857142855,0.702959595959596,"{""C"": 0.01, ""gamma"": 0.01}",34.0,21.0,,
7,6042,5,Inner-selected,57,14,0.7027777777777778,0.42857142857142855,,,,,,L2
