Soft Monotonic + L2,Monotonic + L2,L2
0.6499061367487219,0.6426747503110853,0.6639476920888066
0.7526096539875563,0.7525300655769996,0.7634811654787108
0.6390628379644101,0.6369672453813309,0.6487349199673745
0.7985089431694619,0.8029982700973598,0.7984443091906337
0.7244709631629376,0.7173621040480939,0.7259417000050878
0.7461380533571885,0.743849589358433,0.7610665312285234
0.8006458634072533,0.8082044988454881,0.8049998720969762
0.7258764100907136,0.7366656836348889,0.7303516888463494
0.6610280699494391,0.6635254688753394,0.6598740473118804
0.6851424222311303,0.6894330312052301,0.6900921383769776
0.7516047296082631,0.7555977951827346,0.7585198576175088
0.6873983411793173,0.6905661884291103,0.6924886713371863
0.6486388564221645,0.6566136296666358,0.6621368878637108
0.773758056807051,0.7759616222231162,0.7829814176613642
0.7565506453192653,0.7635423260138171,0.7704974780838808
0.6899139204667215,0.7042354643124525,0.6948790553597781
0.6968143972884825,0.7030634917015649,0.7033989390584408
0.8248311831321143,0.8220276665098477,0.8332208201268817
0.6983336937416061,0.6927325887262008,0.710034649104326
0.6694310212481501,0.6762221193228707,0.6681849017309075
0.7740861780524234,0.7717258821772529,0.7914795283288535
0.6357974826895549,0.6384631229860775,0.6602342216363499
0.7364507465585249,0.7421465726705067,0.7387683410422038
0.6012783010264452,0.6100096956394575,0.5959789311723135
0.7764202084786109,0.7735836761702077,0.7837101038786254
0.6894011165913666,0.6985647341709925,0.7006460733386342
0.7709699938305528,0.7815439265145012,0.7767543126863002
0.6142119317081588,0.6224561703314766,0.6241281996003193
0.7341609516163268,0.7417192758162473,0.7369422634728489
0.6085536813579355,0.6082604228948764,0.6198326387411998
0.6725581678436514,0.6731393422248257,0.6738430002511031
0.6791420706513772,0.6779027714565633,0.688278074057156
0.6875385433569956,0.6851819601033887,0.6981852958108913
0.7507438617186937,0.7483925870065486,0.7645636439987031
0.7572507619704234,0.7661865064618228,0.7671790839965922
0.6660146860077877,0.6748162548773717,0.6710932338488357
0.6369617296358537,0.6364514604789896,0.6473889348518667
0.7018021930054192,0.7095966622771995,0.7032007942718778
0.6618479996874433,0.6675558881860181,0.6709395428574177
0.753802417080329,0.7578521448497537,0.7523094916746059
0.7984110225365549,0.8071059264951715,0.807287311392773
0.6797724905518271,0.6799840122312061,0.6850540256833624
0.6818904437532711,0.6824142985001893,0.6915831393798255
0.7342023311977839,0.7317071529476711,0.7414218628057769
0.7547479458509193,0.7500249284484584,0.7605306899605221
0.6151879371725788,0.6189447325769483,0.6268046007802515
0.6485376037682946,0.6571879139108938,0.650492832996738
0.6866632995683858,0.700995338193689,0.6865510059363069
0.7161717550510742,0.718318829858413,0.7221599003713624
0.7549461725518996,0.7549274054953843,0.7522051939317542
0.6751825362215098,0.6798258365719531,0.686944057278221
0.7382335110503216,0.7395361645448283,0.7419425046558061
0.6822831736180244,0.6876013966878141,0.6936765365081032
0.7189149262206156,0.7194044997423319,0.7248523965315485
0.7598988787438624,0.7594274471400169,0.7750170355248343
0.6557750436118426,0.6545728179025647,0.6700636335362868
0.7183135072080812,0.7255129718132709,0.7342926738067329
0.6512568843127363,0.6582940230177802,0.6624397566723181
0.6987180959926057,0.6993321138375059,0.7037405464037466
0.7047999220265675,0.7107127432441507,0.7174868688129463
0.8036514313848723,0.7993427242452056,0.8107411348610206
0.7327814749404036,0.7389184650511331,0.7467638461250857
0.7691450943811983,0.7755112434387708,0.7759582970845795
0.675080818998799,0.6818125423698291,0.6809383285527368
0.6637787608286814,0.6746976401045157,0.669125603322955
0.5837402547323268,0.593331179466634,0.5952449167126467
0.672785712940218,0.6769864955786248,0.67695480612458
0.7289709913745821,0.7321589244248692,0.733982414453738
0.6068055135142555,0.6123537321290382,0.6144262988933765
0.7469173733086316,0.7499914612467077,0.7554461770925123
0.7134469681528443,0.7149567896747775,0.7307945313039788
0.6155435964019293,0.6287599701522842,0.6201807076502103
0.8131560286935116,0.8155069639447045,0.8155201969413362
0.7569427500271414,0.7604427123613254,0.76322786692938
0.7065457699907484,0.7143196565326468,0.7126355571752686
0.733192590716922,0.732851266747199,0.7449256137125989
0.6652584913196385,0.6704767258773623,0.665156448861624
0.7121382565880292,0.7048474506138773,0.7122114112422762
0.6755564101679401,0.6819560982843023,0.6846805354882314
0.7793231946812527,0.7772957110000269,0.7855200316496587
0.7631323731541956,0.7640341208443363,0.7722411016170905
0.7790215302473322,0.782752526533794,0.7928441115130681
0.7764363995609367,0.7761972688394675,0.7753195648624583
0.7980909982317104,0.8072580941985611,0.8026389255323079
0.7013004427336038,0.7089441616121914,0.7044419021757211
0.6745098503290206,0.6807935907195644,0.6715596221156048
0.7656468447379773,0.7701201159352151,0.7846070643904589
0.7015191657475502,0.7097311011248992,0.716728670825805
0.66965634705654,0.6721053275389286,0.671086029260502
0.6943140224091054,0.7022982979747957,0.6951723826615147
0.8025407731337337,0.8000763315878844,0.7986442437452133
0.7097993872119016,0.7045776166456119,0.7150958367106068
0.715536349025495,0.7204008124060296,0.7254005882124932
0.8229231842351973,0.8277154626908686,0.8343154206663947
0.7858657915245907,0.7870343521941321,0.7884736993721024
0.7170742652848314,0.7273222802989178,0.7271602888141875
0.6869758830257434,0.6931213041049292,0.7020673372881009
0.7333723518769305,0.7458265939531965,0.7356877398114365
0.7247939788747941,0.7215089192675528,0.7293334970532126
0.5758039735914743,0.5728906278582057,0.5851587079994824
0.6642944075103021,0.6631108542814951,0.6727800814263333
0.6425795480818591,0.6443621732609127,0.6439717973008939
0.7891273502606715,0.7945716429008516,0.7921982663815876
0.6941238005570408,0.7023069182731505,0.692181554658444
0.7456208083505692,0.7545931227558569,0.7571959840236617
0.6915739507990272,0.6934473970287235,0.7008123575933689
0.6380385108453821,0.6442399107232645,0.644878313539304
0.703521905343334,0.7112359166426218,0.7105737556004013
0.6958799096412376,0.6996945133449445,0.6972918060897938
0.645142555547008,0.6519501713018049,0.6609335752195753
0.7066315511856132,0.7110988016885078,0.7116471782240619
0.6679714921101823,0.6733086929054188,0.6774061041756768
0.7108133252128875,0.7120835386854821,0.7200244433003712
0.7628363558885093,0.7765521038734416,0.7741186412901319
0.75119443854437,0.7600984312134415,0.7544321849729232
0.7179865779994983,0.7197443141127096,0.7242196066901251
0.7471681284737345,0.7507029055571506,0.7521471758857916
0.6137811153676701,0.618571991819261,0.6191284894092318
0.676192246525292,0.6814971286260694,0.6742256938057706
0.6915500010500188,0.6962365559303234,0.6985520694181585
0.6292441659167519,0.6406247949658332,0.6315826719939467
0.7060961235869777,0.7200401389144515,0.7196511376449053
0.7037422754979565,0.7155696224584972,0.7093270637665131
0.7659365113100409,0.7628164620471347,0.7751907274642571
0.712133410270976,0.7164217974022605,0.7171838360293493
0.6217937673798716,0.6334938219530045,0.6300117758791927
0.741982699794301,0.7433586890691878,0.7486905537128693
0.783574504254976,0.7937670330480617,0.794368563540589
0.726846195283618,0.7311443688803032,0.7350113179410723
0.7450794559516375,0.7478118415114042,0.7499366401034645
0.6970140172366182,0.6994210066902954,0.7096769452888574
0.6254329287414673,0.6330523021173259,0.629479664677489
0.7261507590066095,0.7270355744969689,0.7358212446380606
0.7772925852627357,0.7790760604710006,0.7836406898542225
0.6459412478517418,0.6501680527904771,0.6421226823708766
