repeat,seed,outer_fold,model,n_train,n_test,test_positives,prevalence,pr_auc_ap,best_inner_ap,candidate,parameters,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
3,2042,2,L2,57,14,6,0.42857142857142855,0.3785353535353535,0.8074675324675324,3,"{""l2"": 1.0}",10,21,,,1.0,,
3,2042,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.6787037037037037,0.6852294372294372,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",23,21,3.0,0.00973477862905269,0.1,1.0,
3,2042,3,Monotonic + L2,57,14,6,0.42857142857142855,0.6787037037037037,0.6852294372294372,2,"{""l2"": 0.1}",15,18,0.0,0.0,0.1,,0.0
3,2042,3,L2,57,14,6,0.42857142857142855,0.6787037037037037,0.6615468975468974,2,"{""l2"": 0.1}",16,21,,,0.1,,
3,2042,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.6882936507936507,0.7314025974025974,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",10,21,2.0,0.006588011899380645,10.0,1.0,
3,2042,4,Monotonic + L2,57,14,6,0.42857142857142855,0.7329365079365079,0.730069264069264,4,"{""l2"": 10.0}",9,19,0.0,0.0,10.0,,0.0
3,2042,4,L2,57,14,6,0.42857142857142855,0.6882936507936507,0.7114025974025975,4,"{""l2"": 10.0}",9,21,,,10.0,,
3,2042,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.8092592592592592,0.6689999999999999,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",19,21,2.0,0.003985145125010912,1.0,10.0,
3,2042,5,Monotonic + L2,57,14,6,0.42857142857142855,0.8208333333333333,0.6787460317460317,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
3,2042,5,L2,57,14,6,0.42857142857142855,0.8092592592592592,0.6540793650793649,4,"{""l2"": 10.0}",10,21,,,10.0,,
4,3042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.7580197580197578,0.7438246753246753,21,"{""l2"": 1.0, ""soft_penalty"": 0.1}",11,21,1.0,0.052763324443467624,1.0,0.1,
