model,mean_outer_fold_ap,repeat_mean_sd,conditional_ci95_low,conditional_ci95_high,difference_vs_soft,paired_ci95_low_difference_vs_soft,paired_ci95_high_difference_vs_soft,soft_penalty_selected_fraction
Soft Monotonic + L2,0.6785754292004291,0.03984967806084964,0.5793237523501545,0.8053405534746838,0.0,0.0,0.0,0.67
Monotonic + L2,0.6838818265068265,0.03294099627680776,0.5849695773169561,0.8088533309891252,0.00530639730639737,-0.003285166774995127,0.013945948297254289,0.0
L2,0.6863747264640121,0.03330322715261226,0.5855007789044904,0.8132640206208464,0.007799297263582972,-0.002588667029192493,0.016958250429225264,0.0
