repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
1,1,4,Soft Monotonic + L2,7,"{""l2"": 0.01, ""soft_penalty"": 0.001}",0.800909090909091,33,21,5.0,0.868607891648332,0.01,0.001,
1,1,5,Soft Monotonic + L2,7,"{""l2"": 0.01, ""soft_penalty"": 0.001}",0.95,32,21,6.0,0.7542726969435593,0.01,0.001,
1,1,1,Soft Monotonic + L2,8,"{""l2"": 0.01, ""soft_penalty"": 0.01}",0.7961904761904761,31,21,6.0,0.6261289547406239,0.01,0.01,
1,1,2,Soft Monotonic + L2,8,"{""l2"": 0.01, ""soft_penalty"": 0.01}",0.37177489177489176,32,21,7.0,0.6674078293503449,0.01,0.01,
1,1,3,Soft Monotonic + L2,8,"{""l2"": 0.01, ""soft_penalty"": 0.01}",0.6444444444444444,30,21,4.0,1.050844523114318,0.01,0.01,
1,1,4,Soft Monotonic + L2,8,"{""l2"": 0.01, ""soft_penalty"": 0.01}",0.7742424242424242,33,21,6.0,0.7477824300906243,0.01,0.01,
1,1,5,Soft Monotonic + L2,8,"{""l2"": 0.01, ""soft_penalty"": 0.01}",0.95,31,21,6.0,0.6700187100294352,0.01,0.01,
1,1,1,Soft Monotonic + L2,9,"{""l2"": 0.01, ""soft_penalty"": 0.1}",0.8528571428571428,29,21,7.0,0.3076961992701944,0.01,0.1,
1,1,2,Soft Monotonic + L2,9,"{""l2"": 0.01, ""soft_penalty"": 0.1}",0.37510822510822506,30,21,7.0,0.2618388303878481,0.01,0.1,
1,1,3,Soft Monotonic + L2,9,"{""l2"": 0.01, ""soft_penalty"": 0.1}",0.6111111111111112,31,21,4.0,0.4370051146809893,0.01,0.1,
1,1,4,Soft Monotonic + L2,9,"{""l2"": 0.01, ""soft_penalty"": 0.1}",0.7742424242424242,29,21,6.0,0.3406575215255374,0.01,0.1,
1,1,5,Soft Monotonic + L2,9,"{""l2"": 0.01, ""soft_penalty"": 0.1}",0.8875,28,21,6.0,0.35082676459360596,0.01,0.1,
1,1,1,Soft Monotonic + L2,10,"{""l2"": 0.01, ""soft_penalty"": 1.0}",0.8766666666666667,48,21,7.0,0.05327813569778629,0.01,1.0,
1,1,2,Soft Monotonic + L2,10,"{""l2"": 0.01, ""soft_penalty"": 1.0}",0.3875757575757576,56,21,7.0,0.03988782906739074,0.01,1.0,
1,1,3,Soft Monotonic + L2,10,"{""l2"": 0.01, ""soft_penalty"": 1.0}",0.6311111111111112,53,21,4.0,0.06982433172934367,0.01,1.0,
1,1,4,Soft Monotonic + L2,10,"{""l2"": 0.01, ""soft_penalty"": 1.0}",0.8333333333333333,52,21,7.0,0.05685081163945842,0.01,1.0,
1,1,5,Soft Monotonic + L2,10,"{""l2"": 0.01, ""soft_penalty"": 1.0}",0.8875,44,21,6.0,0.06668935526872449,0.01,1.0,
1,1,1,Soft Monotonic + L2,11,"{""l2"": 0.01, ""soft_penalty"": 10.0}",0.8766666666666667,132,21,7.0,0.0057685455428939224,0.01,10.0,
