repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
18,1,1,Monotonic,0,"{""lambda"": 0.001}",0.3792424242424242,33,16,0.0
18,1,2,Monotonic,0,"{""lambda"": 0.001}",0.5442424242424242,25,13,0.0
18,1,3,Monotonic,0,"{""lambda"": 0.001}",0.7,28,16,0.0
18,1,4,Monotonic,0,"{""lambda"": 0.001}",0.5392857142857143,30,15,0.0
18,1,5,Monotonic,0,"{""lambda"": 0.001}",0.43333333333333335,48,16,0.0
18,1,1,Monotonic,1,"{""lambda"": 0.01}",0.42146464646464643,26,16,0.0
18,1,2,Monotonic,1,"{""lambda"": 0.01}",0.5442424242424242,24,13,0.0
18,1,3,Monotonic,1,"{""lambda"": 0.01}",0.6444444444444444,26,18,0.0
18,1,4,Monotonic,1,"{""lambda"": 0.01}",0.5392857142857143,25,15,0.0
18,1,5,Monotonic,1,"{""lambda"": 0.01}",0.43333333333333335,26,16,0.0
18,1,1,Monotonic,2,"{""lambda"": 0.1}",0.4881313131313131,15,18,0.0
18,1,2,Monotonic,2,"{""lambda"": 0.1}",0.5866666666666666,15,16,0.0
18,1,3,Monotonic,2,"{""lambda"": 0.1}",0.7611111111111111,15,19,0.0
18,1,4,Monotonic,2,"{""lambda"": 0.1}",0.5926190476190476,16,17,0.0
18,1,5,Monotonic,2,"{""lambda"": 0.1}",0.43333333333333335,16,18,0.0
18,1,1,Monotonic,3,"{""lambda"": 1.0}",0.6638888888888889,11,20,0.0
18,1,2,Monotonic,3,"{""lambda"": 1.0}",0.6683333333333333,11,20,0.0
18,1,3,Monotonic,3,"{""lambda"": 1.0}",0.7753968253968253,12,21,0.0
18,1,4,Monotonic,3,"{""lambda"": 1.0}",0.5926190476190476,11,19,0.0
18,1,5,Monotonic,3,"{""lambda"": 1.0}",0.475,12,21,0.0
18,1,1,Monotonic,4,"{""lambda"": 10.0}",0.6888888888888889,9,21,0.0
18,1,2,Monotonic,4,"{""lambda"": 10.0}",0.6416666666666666,9,20,0.0
18,1,3,Monotonic,4,"{""lambda"": 10.0}",0.7753968253968253,10,20,0.0
18,1,4,Monotonic,4,"{""lambda"": 10.0}",0.5449999999999999,10,20,0.0
18,1,5,Monotonic,4,"{""lambda"": 10.0}",0.5178571428571428,10,20,0.0
18,1,1,L2,0,"{""lambda"": 0.001}",0.42999999999999994,47,21,
18,1,2,L2,0,"{""lambda"": 0.001}",0.4014646464646464,41,21,
18,1,3,L2,0,"{""lambda"": 0.001}",0.6444444444444444,42,21,
18,1,4,L2,0,"{""lambda"": 0.001}",0.3876984126984127,59,21,
18,1,5,L2,0,"{""lambda"": 0.001}",0.4125,68,21,
18,1,1,L2,1,"{""lambda"": 0.01}",0.3966666666666666,33,21,
18,1,2,L2,1,"{""lambda"": 0.01}",0.4321789321789321,32,21,
18,1,3,L2,1,"{""lambda"": 0.01}",0.6644444444444444,35,21,
18,1,4,L2,1,"{""lambda"": 0.01}",0.44126984126984126,34,21,
18,1,5,L2,1,"{""lambda"": 0.01}",0.4125,33,21,
