repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
18,17042,1,Monotonic,56,15,0.8962585034013604,0.4666666666666667,0.6350476190476191,"{""lambda"": 1.0}",10.0,20.0,0.0,
18,17042,1,L2,56,15,0.9276437847866419,0.4666666666666667,0.6299523809523808,"{""lambda"": 10.0}",10.0,21.0,,
18,17042,1,Elastic Net,56,15,0.7869614512471654,0.4666666666666667,0.6990952380952381,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",58.0,5.0,,
18,17042,1,SVM,56,15,0.8983516483516483,0.4666666666666667,0.5934920634920634,"{""C"": 0.01, ""gamma"": 0.01}",25.0,21.0,,
18,17042,1,Inner-selected,56,15,0.7869614512471654,0.4666666666666667,,,,,,Elastic Net
18,17042,2,Monotonic,57,14,0.4067760942760943,0.42857142857142855,0.7434357864357863,"{""lambda"": 1.0}",12.0,20.0,0.0,
18,17042,2,L2,57,14,0.3928872053872054,0.42857142857142855,0.7374357864357866,"{""lambda"": 10.0}",10.0,21.0,,
18,17042,2,Elastic Net,57,14,0.41914983164983166,0.42857142857142855,0.74015873015873,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",72.0,7.0,,
18,17042,2,SVM,57,14,0.4018157768157769,0.42857142857142855,0.6672135642135641,"{""C"": 0.1, ""gamma"": 0.01}",27.0,21.0,,
18,17042,2,Inner-selected,57,14,0.4067760942760943,0.42857142857142855,,,,,,Monotonic
18,17042,3,Monotonic,57,14,0.6590909090909091,0.42857142857142855,0.7199595959595959,"{""lambda"": 10.0}",10.0,19.0,0.0,
18,17042,3,L2,57,14,0.68508806008806,0.42857142857142855,0.7003405483405484,"{""lambda"": 1.0}",11.0,21.0,,
18,17042,3,Elastic Net,57,14,0.6491452991452992,0.42857142857142855,0.6870230880230881,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",78.0,7.0,,
18,17042,3,SVM,57,14,0.4482804232804232,0.42857142857142855,0.7012857142857143,"{""C"": 1.0, ""gamma"": 0.1}",77.0,21.0,,
18,17042,3,Inner-selected,57,14,0.6590909090909091,0.42857142857142855,,,,,,Monotonic
18,17042,4,Monotonic,57,14,0.6049603174603174,0.42857142857142855,0.7708874458874458,"{""lambda"": 10.0}",10.0,19.0,0.0,
18,17042,4,L2,57,14,0.5862794612794614,0.42857142857142855,0.7442207792207792,"{""lambda"": 10.0}",10.0,21.0,,
18,17042,4,Elastic Net,57,14,0.5771825396825396,0.42857142857142855,0.7313015873015872,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",68.0,6.0,,
18,17042,4,SVM,57,14,0.5677609427609428,0.42857142857142855,0.7057373737373737,"{""C"": 1.0, ""gamma"": 0.01}",39.0,21.0,,
18,17042,4,Inner-selected,57,14,0.6049603174603174,0.42857142857142855,,,,,,Monotonic
18,17042,5,Monotonic,57,14,0.623015873015873,0.42857142857142855,0.7309898989898989,"{""lambda"": 0.1}",15.0,17.0,0.0,
18,17042,5,L2,57,14,0.7659090909090909,0.42857142857142855,0.6822929292929294,"{""lambda"": 1.0}",11.0,21.0,,
18,17042,5,Elastic Net,57,14,0.7196127946127945,0.42857142857142855,0.7095858585858584,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",154.0,9.0,,
18,17042,5,SVM,57,14,0.7659090909090909,0.42857142857142855,0.6607907647907647,"{""C"": 1.0, ""gamma"": 0.01}",41.0,21.0,,
18,17042,5,Inner-selected,57,14,0.623015873015873,0.42857142857142855,,,,,,Monotonic
