repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
16,15042,1,Monotonic,56,15,0.6236350950636664,0.4666666666666667,0.7181349206349206,"{""lambda"": 0.1}",14.0,17.0,0.0,
16,15042,1,L2,56,15,0.7264128728414443,0.4666666666666667,0.711984126984127,"{""lambda"": 1.0}",11.0,21.0,,
16,15042,1,Elastic Net,56,15,0.6372405372405372,0.4666666666666667,0.7009920634920634,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",129.0,14.0,,
16,15042,1,SVM,56,15,0.7912698412698411,0.4666666666666667,0.7479509379509379,"{""C"": 0.01, ""gamma"": ""scale""}",32.0,21.0,,
16,15042,1,Inner-selected,56,15,0.7912698412698411,0.4666666666666667,,,,,,SVM
16,15042,2,Monotonic,57,14,0.7159090909090908,0.42857142857142855,0.6791746031746031,"{""lambda"": 10.0}",10.0,19.0,0.0,
16,15042,2,L2,57,14,0.7175925925925926,0.42857142857142855,0.6904761904761905,"{""lambda"": 10.0}",10.0,21.0,,
16,15042,2,Elastic Net,57,14,0.627946127946128,0.42857142857142855,0.6724992784992785,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",153.0,7.0,,
16,15042,2,SVM,57,14,0.7066498316498316,0.42857142857142855,0.6768715728715728,"{""C"": 0.1, ""gamma"": ""scale""}",42.0,21.0,,
16,15042,2,Inner-selected,57,14,0.7175925925925926,0.42857142857142855,,,,,,L2
16,15042,3,Monotonic,57,14,0.75,0.42857142857142855,0.6788095238095238,"{""lambda"": 10.0}",10.0,19.0,0.0,
16,15042,3,L2,57,14,0.7619047619047619,0.42857142857142855,0.6572857142857143,"{""lambda"": 10.0}",9.0,21.0,,
16,15042,3,Elastic Net,57,14,0.737073112073112,0.42857142857142855,0.6725627705627705,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",76.0,8.0,,
16,15042,3,SVM,57,14,0.7713675213675214,0.42857142857142855,0.6185310245310245,"{""C"": 1.0, ""gamma"": 0.01}",32.0,21.0,,
16,15042,3,Inner-selected,57,14,0.75,0.42857142857142855,,,,,,Monotonic
16,15042,4,Monotonic,57,14,0.5001683501683503,0.42857142857142855,0.7087619047619047,"{""lambda"": 10.0}",10.0,19.0,0.0,
16,15042,4,L2,57,14,0.4973544973544974,0.42857142857142855,0.7156031746031746,"{""lambda"": 1.0}",10.0,21.0,,
16,15042,4,Elastic Net,57,14,0.44649979649979654,0.42857142857142855,0.7995238095238095,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",68.0,7.0,,
16,15042,4,SVM,57,14,0.48826358826358823,0.42857142857142855,0.6989191919191919,"{""C"": 0.1, ""gamma"": 0.01}",30.0,21.0,,
16,15042,4,Inner-selected,57,14,0.44649979649979654,0.42857142857142855,,,,,,Elastic Net
16,15042,5,Monotonic,57,14,0.8857142857142857,0.42857142857142855,0.6457128427128427,"{""lambda"": 10.0}",9.0,20.0,0.0,
16,15042,5,L2,57,14,0.8857142857142857,0.42857142857142855,0.6272929292929292,"{""lambda"": 10.0}",9.0,21.0,,
16,15042,5,Elastic Net,57,14,0.6180555555555556,0.42857142857142855,0.6205310245310245,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",98.0,4.0,,
16,15042,5,SVM,57,14,0.8541666666666665,0.42857142857142855,0.615991341991342,"{""C"": 0.01, ""gamma"": 0.01}",26.0,21.0,,
16,15042,5,Inner-selected,57,14,0.8857142857142857,0.42857142857142855,,,,,,Monotonic
