model,mean_fold_ap,fold_sd_population,pooled_oof_ap_descriptive,mean_paired_difference_vs_monotonic,folds_better_than_monotonic
L2,0.6408872476729619,0.1734013552335309,0.5899920946523083,0.008037319823034118,1
Monotonic,0.6328499278499278,0.1982526687944973,0.5650591335023762,0.0,0
Elastic Net,0.5479341029341029,0.12567096455793586,0.47633637828081477,-0.08491582491582486,1
SVM,0.529592180306466,0.118115828222521,0.43853246460260836,-0.10325774754346181,2
