repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
14,1,1,Monotonic,0,"{""lambda"": 0.001}",0.4716666666666667,40,16,0.0
14,1,2,Monotonic,0,"{""lambda"": 0.001}",0.37146464646464644,38,16,0.0
14,1,3,Monotonic,0,"{""lambda"": 0.001}",0.46571428571428575,32,16,0.0
14,1,4,Monotonic,0,"{""lambda"": 0.001}",0.4575757575757575,29,14,0.0
14,1,5,Monotonic,0,"{""lambda"": 0.001}",0.875,27,15,0.0
14,1,1,Monotonic,1,"{""lambda"": 0.01}",0.44904761904761903,30,16,0.0
14,1,2,Monotonic,1,"{""lambda"": 0.01}",0.37146464646464644,25,17,0.0
14,1,3,Monotonic,1,"{""lambda"": 0.01}",0.5142857142857142,25,17,0.0
14,1,4,Monotonic,1,"{""lambda"": 0.01}",0.4809523809523809,27,15,0.0
14,1,5,Monotonic,1,"{""lambda"": 0.01}",0.875,27,17,0.0
14,1,1,Monotonic,2,"{""lambda"": 0.1}",0.5522222222222222,15,18,0.0
14,1,2,Monotonic,2,"{""lambda"": 0.1}",0.3912698412698412,15,19,0.0
14,1,3,Monotonic,2,"{""lambda"": 0.1}",0.6392857142857142,17,19,0.0
14,1,4,Monotonic,2,"{""lambda"": 0.1}",0.5009523809523809,16,16,0.0
14,1,5,Monotonic,2,"{""lambda"": 0.1}",0.875,16,17,0.0
14,1,1,Monotonic,3,"{""lambda"": 1.0}",0.6023809523809525,12,20,0.0
14,1,2,Monotonic,3,"{""lambda"": 1.0}",0.42682539682539683,12,20,0.0
14,1,3,Monotonic,3,"{""lambda"": 1.0}",0.6726190476190477,12,19,0.0
14,1,4,Monotonic,3,"{""lambda"": 1.0}",0.8999999999999999,12,19,0.0
14,1,5,Monotonic,3,"{""lambda"": 1.0}",0.8928571428571428,12,20,0.0
14,1,1,Monotonic,4,"{""lambda"": 10.0}",0.5766233766233766,10,20,0.0
14,1,2,Monotonic,4,"{""lambda"": 10.0}",0.4411111111111111,10,20,0.0
14,1,3,Monotonic,4,"{""lambda"": 10.0}",0.7226190476190475,10,19,0.0
14,1,4,Monotonic,4,"{""lambda"": 10.0}",0.911111111111111,10,19,0.0
14,1,5,Monotonic,4,"{""lambda"": 10.0}",0.8928571428571428,9,20,0.0
14,1,1,L2,0,"{""lambda"": 0.001}",0.4716666666666667,62,21,
14,1,2,L2,0,"{""lambda"": 0.001}",0.3354761904761905,63,21,
