repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
14,13042,1,Monotonic,56,15,0.7571428571428571,0.4666666666666667,0.7088643578643578,"{""lambda"": 10.0}",10.0,20.0,0.0,
14,13042,1,L2,56,15,0.7779434850863423,0.4666666666666667,0.7088643578643578,"{""lambda"": 10.0}",10.0,21.0,,
14,13042,1,Elastic Net,56,15,0.8061533704390846,0.4666666666666667,0.6641031746031747,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",71.0,7.0,,
14,13042,1,SVM,56,15,0.7065149136577707,0.4666666666666667,0.6813564213564214,"{""C"": 0.1, ""gamma"": 0.01}",27.0,21.0,,
14,13042,1,Inner-selected,56,15,0.7571428571428571,0.4666666666666667,,,,,,Monotonic
14,13042,2,Monotonic,57,14,0.5211640211640212,0.42857142857142855,0.7349350649350649,"{""lambda"": 1.0}",12.0,19.0,0.0,
14,13042,2,L2,57,14,0.5378306878306878,0.42857142857142855,0.7560461760461761,"{""lambda"": 1.0}",11.0,21.0,,
14,13042,2,Elastic Net,57,14,0.5211640211640212,0.42857142857142855,0.7387287157287157,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",122.0,17.0,,
14,13042,2,SVM,57,14,0.51005291005291,0.42857142857142855,0.774030303030303,"{""C"": 1.0, ""gamma"": ""scale""}",63.0,21.0,,
14,13042,2,Inner-selected,57,14,0.51005291005291,0.42857142857142855,,,,,,SVM
14,13042,3,Monotonic,57,14,0.7407407407407407,0.42857142857142855,0.7290793650793651,"{""lambda"": 10.0}",10.0,19.0,0.0,
14,13042,3,L2,57,14,0.7407407407407407,0.42857142857142855,0.6952857142857143,"{""lambda"": 10.0}",10.0,21.0,,
14,13042,3,Elastic Net,57,14,0.6759259259259259,0.42857142857142855,0.684968253968254,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",55.0,6.0,,
14,13042,3,SVM,57,14,0.628968253968254,0.42857142857142855,0.6686262626262625,"{""C"": 1.0, ""gamma"": ""scale""}",65.0,21.0,,
14,13042,3,Inner-selected,57,14,0.7407407407407407,0.42857142857142855,,,,,,Monotonic
14,13042,4,Monotonic,57,14,0.8168350168350168,0.42857142857142855,0.6902698412698413,"{""lambda"": 10.0}",9.0,17.0,0.0,
14,13042,4,L2,57,14,0.7694805194805194,0.42857142857142855,0.6349365079365079,"{""lambda"": 10.0}",9.0,21.0,,
14,13042,4,Elastic Net,57,14,0.7569444444444444,0.42857142857142855,0.6728888888888889,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",171.0,3.0,,
14,13042,4,SVM,57,14,0.7543290043290043,0.42857142857142855,0.608023088023088,"{""C"": 0.01, ""gamma"": 0.01}",29.0,21.0,,
14,13042,4,Inner-selected,57,14,0.8168350168350168,0.42857142857142855,,,,,,Monotonic
14,13042,5,Monotonic,57,14,0.5656084656084656,0.42857142857142855,0.7621269841269841,"{""lambda"": 10.0}",10.0,19.0,0.0,
14,13042,5,L2,57,14,0.5981481481481482,0.42857142857142855,0.7830158730158729,"{""lambda"": 10.0}",10.0,21.0,,
14,13042,5,Elastic Net,57,14,0.5612794612794613,0.42857142857142855,0.7287056277056276,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",182.0,11.0,,
14,13042,5,SVM,57,14,0.5656084656084656,0.42857142857142855,0.6735945165945166,"{""C"": 0.01, ""gamma"": 0.01}",27.0,21.0,,
14,13042,5,Inner-selected,57,14,0.5981481481481482,0.42857142857142855,,,,,,L2
