repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
19,18042,1,Monotonic,56,15,0.6317769532055246,0.4666666666666667,0.6963690476190476,"{""lambda"": 10.0}",10.0,19.0,0.0,
19,18042,1,L2,56,15,0.6460626674912389,0.4666666666666667,0.6803690476190476,"{""lambda"": 10.0}",10.0,21.0,,
19,18042,1,Elastic Net,56,15,0.7209183673469388,0.4666666666666667,0.701038961038961,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",63.0,7.0,,
19,18042,1,SVM,56,15,0.5556998556998558,0.4666666666666667,0.6613286435786435,"{""C"": 10.0, ""gamma"": ""scale""}",158.0,21.0,,
19,18042,1,Inner-selected,56,15,0.7209183673469388,0.4666666666666667,,,,,,Elastic Net
19,18042,2,Monotonic,57,14,0.6785714285714285,0.42857142857142855,0.7118253968253968,"{""lambda"": 10.0}",10.0,19.0,0.0,
19,18042,2,L2,57,14,0.7221250971250971,0.42857142857142855,0.7135714285714286,"{""lambda"": 1.0}",10.0,21.0,,
19,18042,2,Elastic Net,57,14,0.7160714285714285,0.42857142857142855,0.7336349206349206,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",76.0,8.0,,
19,18042,2,SVM,57,14,0.7019230769230769,0.42857142857142855,0.7089365079365079,"{""C"": 0.01, ""gamma"": 0.01}",28.0,21.0,,
19,18042,2,Inner-selected,57,14,0.7160714285714285,0.42857142857142855,,,,,,Elastic Net
19,18042,3,Monotonic,57,14,0.764520202020202,0.42857142857142855,0.6901976911976911,"{""lambda"": 10.0}",9.0,19.0,0.0,
19,18042,3,L2,57,14,0.764520202020202,0.42857142857142855,0.6887691197691197,"{""lambda"": 10.0}",9.0,21.0,,
19,18042,3,Elastic Net,57,14,0.7884920634920635,0.42857142857142855,0.6695627705627706,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",76.0,8.0,,
19,18042,3,SVM,57,14,0.7751683501683501,0.42857142857142855,0.667880230880231,"{""C"": 0.1, ""gamma"": 0.01}",30.0,21.0,,
19,18042,3,Inner-selected,57,14,0.764520202020202,0.42857142857142855,,,,,,Monotonic
19,18042,4,Monotonic,57,14,0.7041666666666665,0.42857142857142855,0.7239668109668109,"{""lambda"": 0.1}",15.0,18.0,0.0,
19,18042,4,L2,57,14,0.7370370370370369,0.42857142857142855,0.6980230880230881,"{""lambda"": 1.0}",10.0,21.0,,
19,18042,4,Elastic Net,57,14,0.7505341880341879,0.42857142857142855,0.7007936507936507,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",68.0,7.0,,
19,18042,4,SVM,57,14,0.6675315425315426,0.42857142857142855,0.7373722943722945,"{""C"": 0.01, ""gamma"": 0.1}",42.0,21.0,,
19,18042,4,Inner-selected,57,14,0.6675315425315426,0.42857142857142855,,,,,,SVM
19,18042,5,Monotonic,57,14,0.7236111111111111,0.42857142857142855,0.7056334776334776,"{""lambda"": 10.0}",9.0,19.0,0.0,
19,18042,5,L2,57,14,0.7236111111111111,0.42857142857142855,0.693046176046176,"{""lambda"": 10.0}",9.0,21.0,,
19,18042,5,Elastic Net,57,14,0.627020202020202,0.42857142857142855,0.6415699855699855,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",68.0,6.0,,
19,18042,5,SVM,57,14,0.4841269841269841,0.42857142857142855,0.6923722943722944,"{""C"": 10.0, ""gamma"": ""scale""}",200.0,21.0,,
19,18042,5,Inner-selected,57,14,0.7236111111111111,0.42857142857142855,,,,,,Monotonic
