repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
6,5042,1,Monotonic,56,15,0.6506493506493507,0.4666666666666667,0.7389047619047618,"{""lambda"": 10.0}",10.0,20.0,0.0,
6,5042,1,L2,56,15,0.681013431013431,0.4666666666666667,0.7306666666666667,"{""lambda"": 1.0}",11.0,21.0,,
6,5042,1,Elastic Net,56,15,0.7087912087912087,0.4666666666666667,0.7581507936507936,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",81.0,8.0,,
6,5042,1,SVM,56,15,0.6475667189952903,0.4666666666666667,0.7100793650793651,"{""C"": 10.0, ""gamma"": 0.01}",139.0,21.0,,
6,5042,1,Inner-selected,56,15,0.7087912087912087,0.4666666666666667,,,,,,Elastic Net
6,5042,2,Monotonic,57,14,0.8208333333333333,0.42857142857142855,0.633007215007215,"{""lambda"": 0.1}",15.0,17.0,0.0,
6,5042,2,L2,57,14,0.8092592592592592,0.42857142857142855,0.6674675324675324,"{""lambda"": 0.1}",17.0,21.0,,
6,5042,2,Elastic Net,57,14,0.762037037037037,0.42857142857142855,0.6838571428571429,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",55.0,6.0,,
6,5042,2,SVM,57,14,0.5186507936507936,0.42857142857142855,0.6478874458874457,"{""C"": 10.0, ""gamma"": ""scale""}",171.0,21.0,,
6,5042,2,Inner-selected,57,14,0.762037037037037,0.42857142857142855,,,,,,Elastic Net
6,5042,3,Monotonic,57,14,0.7291666666666666,0.42857142857142855,0.7267518037518037,"{""lambda"": 10.0}",9.0,18.0,0.0,
6,5042,3,L2,57,14,0.7041666666666665,0.42857142857142855,0.7124906204906205,"{""lambda"": 10.0}",9.0,21.0,,
6,5042,3,Elastic Net,57,14,0.8819444444444444,0.42857142857142855,0.7246897546897546,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",71.0,6.0,,
6,5042,3,SVM,57,14,0.737073112073112,0.42857142857142855,0.6276248196248195,"{""C"": 0.01, ""gamma"": 0.01}",28.0,21.0,,
6,5042,3,Inner-selected,57,14,0.7291666666666666,0.42857142857142855,,,,,,Monotonic
6,5042,4,Monotonic,57,14,0.7461640211640211,0.42857142857142855,0.7488008658008659,"{""lambda"": 10.0}",10.0,19.0,0.0,
6,5042,4,L2,57,14,0.6906084656084656,0.42857142857142855,0.744991341991342,"{""lambda"": 10.0}",10.0,21.0,,
6,5042,4,Elastic Net,57,14,0.6155122655122655,0.42857142857142855,0.6668484848484848,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",66.0,6.0,,
6,5042,4,SVM,57,14,0.38062169312169314,0.42857142857142855,0.714150072150072,"{""C"": 10.0, ""gamma"": 0.1}",108.0,21.0,,
6,5042,4,Inner-selected,57,14,0.7461640211640211,0.42857142857142855,,,,,,Monotonic
6,5042,5,Monotonic,57,14,0.6878306878306878,0.42857142857142855,0.6768326118326117,"{""lambda"": 10.0}",10.0,20.0,0.0,
6,5042,5,L2,57,14,0.6878306878306878,0.42857142857142855,0.6564516594516594,"{""lambda"": 10.0}",10.0,21.0,,
6,5042,5,Elastic Net,57,14,0.6806878306878307,0.42857142857142855,0.6787849927849927,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",68.0,7.0,,
6,5042,5,SVM,57,14,0.6848595848595848,0.42857142857142855,0.612030303030303,"{""C"": 1.0, ""gamma"": ""scale""}",54.0,21.0,,
6,5042,5,Inner-selected,57,14,0.6806878306878307,0.42857142857142855,,,,,,Elastic Net
