repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
11,10042,1,Monotonic,56,15,0.5841880341880341,0.4666666666666667,0.7943564213564214,"{""lambda"": 0.01}",28.0,17.0,0.0,
11,10042,1,L2,56,15,0.5580808080808081,0.4666666666666667,0.7681183261183261,"{""lambda"": 0.001}",63.0,21.0,,
11,10042,1,Elastic Net,56,15,0.5580808080808081,0.4666666666666667,0.7643088023088023,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",6088.0,21.0,,
11,10042,1,SVM,56,15,0.6363636363636364,0.4666666666666667,0.7286349206349205,"{""C"": 0.01, ""gamma"": 0.01}",27.0,21.0,,
11,10042,1,Inner-selected,56,15,0.5841880341880341,0.4666666666666667,,,,,,Monotonic
11,10042,2,Monotonic,57,14,0.7958333333333333,0.42857142857142855,0.6876507936507936,"{""lambda"": 10.0}",10.0,20.0,0.0,
11,10042,2,L2,57,14,0.848611111111111,0.42857142857142855,0.6742770562770563,"{""lambda"": 10.0}",10.0,21.0,,
11,10042,2,Elastic Net,57,14,0.6069805194805195,0.42857142857142855,0.7358643578643578,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",68.0,6.0,,
11,10042,2,SVM,57,14,0.4777417027417027,0.42857142857142855,0.6531890331890331,"{""C"": 100.0, ""gamma"": 0.01}",556.0,21.0,,
11,10042,2,Inner-selected,57,14,0.6069805194805195,0.42857142857142855,,,,,,Elastic Net
11,10042,3,Monotonic,57,14,0.5444444444444444,0.42857142857142855,0.7273968253968255,"{""lambda"": 10.0}",10.0,18.0,0.0,
11,10042,3,L2,57,14,0.5285714285714285,0.42857142857142855,0.7521587301587301,"{""lambda"": 10.0}",10.0,21.0,,
11,10042,3,Elastic Net,57,14,0.577020202020202,0.42857142857142855,0.6932294372294371,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",73.0,7.0,,
11,10042,3,SVM,57,14,0.509090909090909,0.42857142857142855,0.6974516594516593,"{""C"": 0.1, ""gamma"": 0.01}",29.0,21.0,,
11,10042,3,Inner-selected,57,14,0.5285714285714285,0.42857142857142855,,,,,,L2
11,10042,4,Monotonic,57,14,0.4872053872053872,0.42857142857142855,0.73008658008658,"{""lambda"": 0.1}",16.0,18.0,0.0,
11,10042,4,L2,57,14,0.42483164983164984,0.42857142857142855,0.7591818181818182,"{""lambda"": 0.1}",16.0,21.0,,
11,10042,4,Elastic Net,57,14,0.44797979797979803,0.42857142857142855,0.7423333333333332,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",95.0,19.0,,
11,10042,4,SVM,57,14,0.34543650793650793,0.42857142857142855,0.7636248196248197,"{""C"": 10.0, ""gamma"": 0.01}",195.0,21.0,,
11,10042,4,Inner-selected,57,14,0.34543650793650793,0.42857142857142855,,,,,,SVM
11,10042,5,Monotonic,57,14,0.8416666666666666,0.42857142857142855,0.6413881673881673,"{""lambda"": 10.0}",9.0,20.0,0.0,
11,10042,5,L2,57,14,0.8416666666666666,0.42857142857142855,0.6234516594516594,"{""lambda"": 10.0}",9.0,21.0,,
11,10042,5,Elastic Net,57,14,0.7999999999999999,0.42857142857142855,0.6311183261183262,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",69.0,6.0,,
11,10042,5,SVM,57,14,0.8857142857142857,0.42857142857142855,0.5716176046176047,"{""C"": 0.1, ""gamma"": 0.01}",37.0,21.0,,
11,10042,5,Inner-selected,57,14,0.8416666666666666,0.42857142857142855,,,,,,Monotonic
