repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
11,1,1,Monotonic,0,"{""lambda"": 0.001}",0.7209090909090909,55,17,0.0
11,1,2,Monotonic,0,"{""lambda"": 0.001}",0.6644444444444444,57,16,0.0
11,1,3,Monotonic,0,"{""lambda"": 0.001}",0.6116666666666666,49,15,0.0
11,1,4,Monotonic,0,"{""lambda"": 0.001}",0.911111111111111,45,16,0.0
11,1,5,Monotonic,0,"{""lambda"": 0.001}",0.8875,46,16,0.0
11,1,1,Monotonic,1,"{""lambda"": 0.01}",0.7551948051948052,28,17,0.0
11,1,2,Monotonic,1,"{""lambda"": 0.01}",0.6592857142857143,30,16,0.0
11,1,3,Monotonic,1,"{""lambda"": 0.01}",0.6961904761904762,26,19,0.0
11,1,4,Monotonic,1,"{""lambda"": 0.01}",0.911111111111111,26,17,0.0
11,1,5,Monotonic,1,"{""lambda"": 0.01}",0.95,28,17,0.0
11,1,1,Monotonic,2,"{""lambda"": 0.1}",0.5866666666666666,16,18,0.0
11,1,2,Monotonic,2,"{""lambda"": 0.1}",0.7592857142857143,16,16,0.0
11,1,3,Monotonic,2,"{""lambda"": 0.1}",0.6116666666666666,16,18,0.0
11,1,4,Monotonic,2,"{""lambda"": 0.1}",0.7544444444444445,15,17,0.0
11,1,5,Monotonic,2,"{""lambda"": 0.1}",0.95,16,18,0.0
11,1,1,Monotonic,3,"{""lambda"": 1.0}",0.5311111111111111,12,19,0.0
11,1,2,Monotonic,3,"{""lambda"": 1.0}",0.8392857142857142,12,19,0.0
11,1,3,Monotonic,3,"{""lambda"": 1.0}",0.6116666666666666,12,19,0.0
11,1,4,Monotonic,3,"{""lambda"": 1.0}",0.6087301587301587,12,19,0.0
11,1,5,Monotonic,3,"{""lambda"": 1.0}",0.95,12,19,0.0
11,1,1,Monotonic,4,"{""lambda"": 10.0}",0.5453968253968253,10,19,0.0
11,1,2,Monotonic,4,"{""lambda"": 10.0}",0.8583333333333332,10,20,0.0
11,1,3,Monotonic,4,"{""lambda"": 10.0}",0.6416666666666666,10,20,0.0
11,1,4,Monotonic,4,"{""lambda"": 10.0}",0.5787301587301587,10,19,0.0
11,1,5,Monotonic,4,"{""lambda"": 10.0}",0.9166666666666666,10,19,0.0
11,1,1,L2,0,"{""lambda"": 0.001}",0.7944444444444445,70,21,
11,1,2,L2,0,"{""lambda"": 0.001}",0.6783333333333332,66,21,
11,1,3,L2,0,"{""lambda"": 0.001}",0.6926190476190477,75,21,
11,1,4,L2,0,"{""lambda"": 0.001}",0.7251948051948052,62,21,
11,1,5,L2,0,"{""lambda"": 0.001}",0.95,77,21,
11,1,1,L2,1,"{""lambda"": 0.01}",0.7277777777777779,33,21,
11,1,2,L2,1,"{""lambda"": 0.01}",0.696190476190476,37,21,
11,1,3,L2,1,"{""lambda"": 0.01}",0.6116666666666666,34,21,
11,1,4,L2,1,"{""lambda"": 0.01}",0.7753968253968253,32,21,
11,1,5,L2,1,"{""lambda"": 0.01}",0.95,32,21,
11,1,1,L2,2,"{""lambda"": 0.1}",0.5977777777777777,16,21,
11,1,2,L2,2,"{""lambda"": 0.1}",0.6592857142857143,17,21,
11,1,3,L2,2,"{""lambda"": 0.1}",0.6116666666666666,16,21,
11,1,4,L2,2,"{""lambda"": 0.1}",0.6277777777777778,15,21,
