repeat,Elastic Net,Inner-selected,L2,Monotonic,SVM
1,0.5479341029341029,0.5637155437155437,0.6408872476729619,0.6328499278499278,0.529592180306466
2,0.7376827801827801,0.7506651549508693,0.7235619803476946,0.7325374493231636,0.6374637531780388
3,0.6062938780795923,0.6036802879660023,0.6388722256579399,0.6604208622065765,0.6245400763257906
4,0.7120646945646946,0.6735681778538921,0.6984762459762459,0.694527417027417,0.6855258498115641
5,0.6377268895126038,0.6429254872112015,0.6518669161526305,0.6429254872112015,0.6163766656623799
6,0.7297945572945572,0.7253693528693528,0.7145757020757021,0.726928811928812,0.5937543805400948
7,0.691108521108521,0.6252583527583527,0.6638790838790839,0.6558934583934584,0.6096103896103896
8,0.6419288119288119,0.6662756687756688,0.6623795648795648,0.6583391608391608,0.6151554794411938
9,0.7217552817552818,0.7347682476253905,0.7176760805332233,0.7395086923658352,0.6797172272172272
10,0.7170502513359656,0.7172945440802583,0.7303956096813239,0.7216307634164776,0.7236311704168846
11,0.5980122655122655,0.5813686313686313,0.6403523328523327,0.6506675731675731,0.5708694083694084
12,0.629073162287448,0.6500979179550608,0.6861596736596736,0.6639493046635904,0.6052444381015809
13,0.6959337884337884,0.7065578865578865,0.719044844044844,0.7113885188885188,0.6585939060939061
14,0.6642934446505875,0.6845839345839345,0.6848287162572877,0.6802982202982203,0.633094709523281
15,0.6797569097569097,0.6263887038887038,0.6664620432477575,0.6796593221593221,0.579565527065527
16,0.6133630258630258,0.7182153032153031,0.7177958020815163,0.6950853643710786,0.7223434898434897
17,0.6248063840920984,0.6094442462299605,0.6489642764642765,0.6821483146483146,0.5818968465397036
18,0.6304103832675261,0.6161609290180718,0.6715615204900919,0.6380203394489108,0.6164235764235764
19,0.7206072498929641,0.7185305303162446,0.7186712229569372,0.7005292723149865,0.6368899618899618
20,0.6683305583305583,0.7057792075649217,0.7310834403691546,0.7103282696139839,0.6891683184540327
