Monotonic,L2,Elastic Net,SVM,Inner-selected
0.6426747503110858,0.6639476920888072,0.6609076674736805,0.6307628701865894,0.6580682691873403
0.7525300655769994,0.7634811654787108,0.7153579932932215,0.6899572321944206,0.7302770249894168
0.6369672453813315,0.6487349199673746,0.6503111177234425,0.5961070477144045,0.6392325910754233
0.8029982700973597,0.7984443091906337,0.7928760406155017,0.7442402188243928,0.7911251784587126
0.7173621040480941,0.725941700005088,0.6969419791204053,0.690584522588999,0.7017261735181981
0.7438495893584335,0.7610665312285239,0.7371699140275124,0.7067189980977125,0.7394629610726983
0.8082044988454883,0.8049998720969764,0.7819332252809287,0.7563470400176661,0.7804171067622632
0.736665683634889,0.730351688846349,0.7102110100410549,0.6846647545293831,0.7170901676184589
0.6635254688753389,0.6598740473118799,0.6622431224587737,0.6178871378144677,0.6376460613603121
0.6894330312052303,0.6900921383769771,0.6682065262835566,0.623581151042885,0.6662671582981297
0.7555977951827346,0.7585198576175094,0.713812238654152,0.6880860768048331,0.72778046711487
0.6905661884291102,0.6924886713371865,0.7023023092912495,0.6612925218809098,0.6950444067773419
0.6566136296666362,0.6621368878637113,0.6676446664974757,0.6239051867135518,0.6468709290324568
0.7759616222231166,0.7829814176613645,0.7623083159992018,0.6992551163926496,0.7572889732184502
0.7635423260138173,0.7704974780838808,0.7533024757712489,0.6826262222552323,0.759039421369701
0.7042354643124528,0.6948790553597781,0.6792603390979015,0.6281351795983102,0.6806819826679168
0.7030634917015651,0.703398939058441,0.6832713021686814,0.6425061816784267,0.6878577373135626
0.8220276665098476,0.833220820126882,0.82281666949804,0.7752725436336346,0.8198356832556078
0.6927325887262009,0.7100346491043261,0.6821318988356776,0.6632899538790187,0.6908868227465512
0.6762221193228711,0.6681849017309076,0.6584584506901973,0.6190455598859658,0.6570570101516193
0.7717258821772528,0.791479528328853,0.7450310959180017,0.7151759649663141,0.7529719161637268
0.6384631229860773,0.6602342216363503,0.6285275773303636,0.5968478235689648,0.6411790061497546
