model,mean_fold_ap,repeat_mean_sd,conditional_ci95_low,conditional_ci95_high,mean_difference_vs_monotonic,paired_conditional_ci95_low,paired_conditional_ci95_high
Monotonic,0.6838818265068265,0.03294099627680775,0.5849695773169559,0.8088533309891255,0.0,0.0,0.0
L2,0.6863747264640121,0.033303227152612254,0.5855007789044906,0.8132640206208467,0.0024928999571856014,-0.01030381868874029,0.01460644834008379
Elastic Net,0.6633963470392042,0.05242469127536275,0.5659105331088732,0.7960746980172712,-0.020485479467622247,-0.05200516006204998,0.013307567227893802
SVM,0.6304728677407249,0.05061408956847306,0.5393232162780485,0.7623515720488715,-0.05340895876610163,-0.08064297880896035,-0.01422129634276008
Inner-selected,0.6660324054252625,0.05542851484773958,0.5711523527751667,0.7927776796856062,-0.017849421081563954,-0.0356414600494805,0.0022842840519014486
