repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
3,2042,1,Monotonic,56,15,0.6637755102040817,0.4666666666666667,0.703030303030303,"{""lambda"": 0.1}",15.0,16.0,0.0,
3,2042,1,L2,56,15,0.6395691609977323,0.4666666666666667,0.7142525252525251,"{""lambda"": 0.1}",17.0,21.0,,
3,2042,1,Elastic Net,56,15,0.6395691609977323,0.4666666666666667,0.6808080808080808,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",71.0,17.0,,
3,2042,1,SVM,56,15,0.5460016174301888,0.4666666666666667,0.7172366522366522,"{""C"": 1.0, ""gamma"": ""scale""}",68.0,21.0,,
3,2042,1,Inner-selected,56,15,0.5460016174301888,0.4666666666666667,,,,,,SVM
3,2042,2,Monotonic,57,14,0.40585525585525584,0.42857142857142855,0.7868326118326119,"{""lambda"": 10.0}",10.0,19.0,0.0,
3,2042,2,L2,57,14,0.3785353535353535,0.42857142857142855,0.8074675324675324,"{""lambda"": 1.0}",10.0,21.0,,
3,2042,2,Elastic Net,57,14,0.3721250971250971,0.42857142857142855,0.8051096681096681,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",116.0,17.0,,
3,2042,2,SVM,57,14,0.4063131313131313,0.42857142857142855,0.7815627705627705,"{""C"": 0.01, ""gamma"": 0.01}",26.0,21.0,,
3,2042,2,Inner-selected,57,14,0.3785353535353535,0.42857142857142855,,,,,,L2
3,2042,3,Monotonic,57,14,0.6787037037037037,0.42857142857142855,0.6852294372294372,"{""lambda"": 0.1}",15.0,18.0,0.0,
3,2042,3,L2,57,14,0.6787037037037037,0.42857142857142855,0.6615468975468974,"{""lambda"": 0.1}",16.0,21.0,,
3,2042,3,Elastic Net,57,14,0.6787037037037037,0.42857142857142855,0.6676580086580087,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",119.0,16.0,,
3,2042,3,SVM,57,14,0.6236263736263736,0.42857142857142855,0.6934834054834054,"{""C"": 10.0, ""gamma"": ""scale""}",178.0,21.0,,
3,2042,3,Inner-selected,57,14,0.6236263736263736,0.42857142857142855,,,,,,SVM
3,2042,4,Monotonic,57,14,0.7329365079365079,0.42857142857142855,0.730069264069264,"{""lambda"": 10.0}",9.0,19.0,0.0,
3,2042,4,L2,57,14,0.6882936507936507,0.42857142857142855,0.7114025974025975,"{""lambda"": 10.0}",9.0,21.0,,
3,2042,4,Elastic Net,57,14,0.6494047619047619,0.42857142857142855,0.7642438672438671,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",73.0,6.0,,
3,2042,4,SVM,57,14,0.6925925925925925,0.42857142857142855,0.6885050505050504,"{""C"": 0.01, ""gamma"": 0.01}",29.0,21.0,,
3,2042,4,Inner-selected,57,14,0.6494047619047619,0.42857142857142855,,,,,,Elastic Net
3,2042,5,Monotonic,57,14,0.8208333333333333,0.42857142857142855,0.6787460317460317,"{""lambda"": 10.0}",10.0,19.0,0.0,
3,2042,5,L2,57,14,0.8092592592592592,0.42857142857142855,0.6540793650793649,"{""lambda"": 10.0}",10.0,21.0,,
3,2042,5,Elastic Net,57,14,0.6916666666666668,0.42857142857142855,0.6320072150072149,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",164.0,5.0,,
3,2042,5,SVM,57,14,0.8541666666666665,0.42857142857142855,0.6116262626262626,"{""C"": 0.1, ""gamma"": 0.01}",32.0,21.0,,
3,2042,5,Inner-selected,57,14,0.8208333333333333,0.42857142857142855,,,,,,Monotonic
