repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
13,1,1,Monotonic,0,"{""lambda"": 0.001}",0.706060606060606,56,15,0.0
13,1,2,Monotonic,0,"{""lambda"": 0.001}",0.5800000000000001,49,16,0.0
13,1,3,Monotonic,0,"{""lambda"": 0.001}",0.6644444444444444,34,14,0.0
13,1,4,Monotonic,0,"{""lambda"": 0.001}",0.6592857142857143,31,15,0.0
13,1,5,Monotonic,0,"{""lambda"": 0.001}",0.6428571428571428,35,14,0.0
13,1,1,Monotonic,1,"{""lambda"": 0.01}",0.706060606060606,31,16,0.0
13,1,2,Monotonic,1,"{""lambda"": 0.01}",0.6392857142857142,29,16,0.0
13,1,3,Monotonic,1,"{""lambda"": 0.01}",0.6644444444444444,28,14,0.0
13,1,4,Monotonic,1,"{""lambda"": 0.01}",0.6592857142857143,26,15,0.0
13,1,5,Monotonic,1,"{""lambda"": 0.01}",0.5595238095238095,29,14,0.0
13,1,1,Monotonic,2,"{""lambda"": 0.1}",0.6417748917748918,16,18,0.0
13,1,2,Monotonic,2,"{""lambda"": 0.1}",0.6453968253968254,15,16,0.0
13,1,3,Monotonic,2,"{""lambda"": 0.1}",0.8261904761904761,17,16,0.0
13,1,4,Monotonic,2,"{""lambda"": 0.1}",0.6453968253968254,15,18,0.0
13,1,5,Monotonic,2,"{""lambda"": 0.1}",0.6083333333333333,16,17,0.0
13,1,1,Monotonic,3,"{""lambda"": 1.0}",0.6472222222222221,12,19,0.0
13,1,2,Monotonic,3,"{""lambda"": 1.0}",0.7611111111111111,12,19,0.0
13,1,3,Monotonic,3,"{""lambda"": 1.0}",0.9428571428571428,12,19,0.0
13,1,4,Monotonic,3,"{""lambda"": 1.0}",0.5926190476190476,12,19,0.0
13,1,5,Monotonic,3,"{""lambda"": 1.0}",0.6458333333333333,12,19,0.0
13,1,1,Monotonic,4,"{""lambda"": 10.0}",0.6472222222222221,10,19,0.0
13,1,2,Monotonic,4,"{""lambda"": 10.0}",0.7753968253968253,10,19,0.0
13,1,3,Monotonic,4,"{""lambda"": 10.0}",0.9666666666666666,10,19,0.0
13,1,4,Monotonic,4,"{""lambda"": 10.0}",0.5726190476190476,10,20,0.0
13,1,5,Monotonic,4,"{""lambda"": 10.0}",0.6791666666666667,10,19,0.0
13,1,1,L2,0,"{""lambda"": 0.001}",0.6393939393939394,73,21,
13,1,2,L2,0,"{""lambda"": 0.001}",0.5523809523809524,64,21,
13,1,3,L2,0,"{""lambda"": 0.001}",0.49111111111111116,71,21,
13,1,4,L2,0,"{""lambda"": 0.001}",0.5392857142857143,56,21,
13,1,5,L2,0,"{""lambda"": 0.001}",0.5428571428571429,67,21,
13,1,1,L2,1,"{""lambda"": 0.01}",0.6093939393939394,34,21,
13,1,2,L2,1,"{""lambda"": 0.01}",0.5800000000000001,34,21,
13,1,3,L2,1,"{""lambda"": 0.01}",0.5192857142857142,35,21,
13,1,4,L2,1,"{""lambda"": 0.01}",0.5926190476190476,33,21,
13,1,5,L2,1,"{""lambda"": 0.01}",0.5011904761904762,36,21,
13,1,1,L2,2,"{""lambda"": 0.1}",0.6633333333333333,16,21,
13,1,2,L2,2,"{""lambda"": 0.1}",0.6311111111111112,17,21,
13,1,3,L2,2,"{""lambda"": 0.1}",0.7416666666666667,17,21,
13,1,4,L2,2,"{""lambda"": 0.1}",0.5787301587301587,16,21,
13,1,5,L2,2,"{""lambda"": 0.1}",0.5666666666666667,17,21,
13,1,1,L2,3,"{""lambda"": 1.0}",0.6472222222222221,10,21,
13,1,2,L2,3,"{""lambda"": 1.0}",0.6944444444444444,10,21,
13,1,3,L2,3,"{""lambda"": 1.0}",0.9428571428571428,11,21,
13,1,4,L2,3,"{""lambda"": 1.0}",0.5926190476190476,11,21,
13,1,5,L2,3,"{""lambda"": 1.0}",0.6458333333333333,11,21,
13,1,1,L2,4,"{""lambda"": 10.0}",0.645909090909091,10,21,
13,1,2,L2,4,"{""lambda"": 10.0}",0.7753968253968253,10,21,
13,1,3,L2,4,"{""lambda"": 10.0}",0.9666666666666666,10,21,
13,1,4,L2,4,"{""lambda"": 10.0}",0.5926190476190476,10,21,
13,1,5,L2,4,"{""lambda"": 10.0}",0.8041666666666667,10,21,
