repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
20,1,1,Monotonic,0,"{""lambda"": 0.001}",0.5523809523809524,32,14,0.0
20,1,2,Monotonic,0,"{""lambda"": 0.001}",0.71,34,14,0.0
20,1,3,Monotonic,0,"{""lambda"": 0.001}",0.7888888888888888,37,15,0.0
20,1,4,Monotonic,0,"{""lambda"": 0.001}",0.6301587301587301,32,14,0.0
20,1,5,Monotonic,0,"{""lambda"": 0.001}",0.38819444444444445,36,14,0.0
20,1,1,Monotonic,1,"{""lambda"": 0.01}",0.5634920634920635,27,16,0.0
20,1,2,Monotonic,1,"{""lambda"": 0.01}",0.71,29,14,0.0
20,1,3,Monotonic,1,"{""lambda"": 0.01}",0.6722222222222223,26,15,0.0
20,1,4,Monotonic,1,"{""lambda"": 0.01}",0.6301587301587301,27,16,0.0
20,1,5,Monotonic,1,"{""lambda"": 0.01}",0.35625,25,14,0.0
20,1,1,Monotonic,2,"{""lambda"": 0.1}",0.6592857142857143,14,17,0.0
20,1,2,Monotonic,2,"{""lambda"": 0.1}",0.8766666666666667,16,18,0.0
20,1,3,Monotonic,2,"{""lambda"": 0.1}",0.75,15,17,0.0
20,1,4,Monotonic,2,"{""lambda"": 0.1}",0.6968253968253968,15,18,0.0
20,1,5,Monotonic,2,"{""lambda"": 0.1}",0.44325396825396823,14,17,0.0
20,1,1,Monotonic,3,"{""lambda"": 1.0}",0.6926190476190477,11,20,0.0
20,1,2,Monotonic,3,"{""lambda"": 1.0}",0.8766666666666667,12,19,0.0
20,1,3,Monotonic,3,"{""lambda"": 1.0}",0.6142857142857143,12,19,0.0
20,1,4,Monotonic,3,"{""lambda"": 1.0}",0.6444444444444444,12,20,0.0
20,1,5,Monotonic,3,"{""lambda"": 1.0}",0.8041666666666667,12,20,0.0
20,1,1,Monotonic,4,"{""lambda"": 10.0}",0.6926190476190477,10,20,0.0
20,1,2,Monotonic,4,"{""lambda"": 10.0}",0.9266666666666665,9,19,0.0
20,1,3,Monotonic,4,"{""lambda"": 10.0}",0.5942857142857143,10,19,0.0
20,1,4,Monotonic,4,"{""lambda"": 10.0}",0.5911111111111111,10,20,0.0
20,1,5,Monotonic,4,"{""lambda"": 10.0}",0.8041666666666667,10,20,0.0
20,1,1,L2,0,"{""lambda"": 0.001}",0.5214646464646464,66,21,
20,1,2,L2,0,"{""lambda"": 0.001}",0.6861904761904761,62,21,
20,1,3,L2,0,"{""lambda"": 0.001}",0.5259090909090909,68,21,
20,1,4,L2,0,"{""lambda"": 0.001}",0.5644444444444444,72,21,
20,1,5,L2,0,"{""lambda"": 0.001}",0.29583333333333334,64,21,
20,1,1,L2,1,"{""lambda"": 0.01}",0.58995670995671,32,21,
20,1,2,L2,1,"{""lambda"": 0.01}",0.81,36,21,
20,1,3,L2,1,"{""lambda"": 0.01}",0.5547979797979798,35,21,
20,1,4,L2,1,"{""lambda"": 0.01}",0.5301587301587302,31,21,
20,1,5,L2,1,"{""lambda"": 0.01}",0.30476190476190473,32,21,
20,1,1,L2,2,"{""lambda"": 0.1}",0.6787301587301586,16,21,
20,1,2,L2,2,"{""lambda"": 0.1}",0.8766666666666667,16,21,
20,1,3,L2,2,"{""lambda"": 0.1}",0.6088888888888888,15,21,
20,1,4,L2,2,"{""lambda"": 0.1}",0.6968253968253968,16,21,
20,1,5,L2,2,"{""lambda"": 0.1}",0.4131944444444444,16,21,
20,1,1,L2,3,"{""lambda"": 1.0}",0.6926190476190477,11,21,
20,1,2,L2,3,"{""lambda"": 1.0}",0.8766666666666667,10,21,
20,1,3,L2,3,"{""lambda"": 1.0}",0.6222222222222222,11,21,
20,1,4,L2,3,"{""lambda"": 1.0}",0.6444444444444444,11,21,
20,1,5,L2,3,"{""lambda"": 1.0}",0.8041666666666667,11,21,
20,1,1,L2,4,"{""lambda"": 10.0}",0.6926190476190477,10,21,
20,1,2,L2,4,"{""lambda"": 10.0}",0.9266666666666665,9,21,
20,1,3,L2,4,"{""lambda"": 10.0}",0.6142857142857143,10,21,
20,1,4,L2,4,"{""lambda"": 10.0}",0.5911111111111111,10,21,
20,1,5,L2,4,"{""lambda"": 10.0}",0.8041666666666667,10,21,
20,1,1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.5214646464646464,6258,21,
20,1,2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.6861904761904761,3804,21,
20,1,3,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.5259090909090909,5497,21,
20,1,4,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.5644444444444444,4535,21,
20,1,5,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.29583333333333334,5486,21,
20,1,1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.5214646464646464,9302,20,
20,1,2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.6861904761904761,4496,21,
20,1,3,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.5259090909090909,8735,21,
20,1,4,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.5787301587301587,6818,19,
20,1,5,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.29583333333333334,7698,21,
20,1,1,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.5214646464646464,23326,20,
20,1,2,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.6861904761904761,5573,20,
20,1,3,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.5259090909090909,18517,20,
20,1,4,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.5787301587301587,20156,21,
20,1,5,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.29583333333333334,16536,20,
20,1,1,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.58995670995671,975,20,
20,1,2,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.81,1079,21,
20,1,3,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.5547979797979798,997,20,
20,1,4,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.5301587301587302,528,21,
20,1,5,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.30476190476190473,998,20,
20,1,1,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.5566233766233766,1308,18,
20,1,2,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.71,1531,18,
20,1,3,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.5547979797979798,1442,20,
20,1,4,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.5301587301587302,746,17,
20,1,5,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.31666666666666665,1077,18,
20,1,1,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.5655122655122655,2123,16,
20,1,2,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.71,2621,17,
20,1,3,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.5455122655122655,2817,19,
20,1,4,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.5301587301587302,675,14,
20,1,5,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.31666666666666665,1439,15,
20,1,1,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.6787301587301586,131,18,
20,1,2,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.81,155,19,
20,1,3,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.6088888888888888,144,20,
20,1,4,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.6968253968253968,110,18,
20,1,5,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.42986111111111114,151,17,
20,1,1,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.7087301587301587,191,10,
20,1,2,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.71,210,8,
20,1,3,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.5657142857142857,204,11,
20,1,4,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.6301587301587301,154,12,
20,1,5,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.5861111111111111,191,9,
20,1,1,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",0.6676190476190476,127,4,
20,1,2,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",0.71,146,4,
20,1,3,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",0.5111111111111111,169,5,
20,1,4,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",0.5301587301587302,174,6,
20,1,5,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",0.5654761904761905,143,5,
20,1,1,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",0.6866666666666665,83,8,
20,1,2,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",0.9266666666666665,87,7,
20,1,3,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",0.5111111111111111,85,10,
20,1,4,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",0.5911111111111111,61,9,
20,1,5,Elastic Net,9,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",0.6178571428571429,77,7,
20,1,1,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",0.4166666666666667,3,0,
20,1,2,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",0.4166666666666667,3,0,
20,1,3,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",0.45454545454545453,3,0,
20,1,4,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",0.45454545454545453,3,0,
20,1,5,Elastic Net,10,"{""lambda"": 1.0, ""l1_ratio"": 0.5}",0.4,4,0,
20,1,1,Elastic Net,11,"{""lambda"": 1.0, ""l1_ratio"": 0.9}",0.4166666666666667,1,0,
20,1,2,Elastic Net,11,"{""lambda"": 1.0, ""l1_ratio"": 0.9}",0.4166666666666667,1,0,
20,1,3,Elastic Net,11,"{""lambda"": 1.0, ""l1_ratio"": 0.9}",0.45454545454545453,1,0,
