repeat,seed,outer_fold,model,n_train,n_test,ap,prevalence,best_inner_ap,parameters,iterations,nonzero_features,violations,selected_model
20,19042,1,Monotonic,56,15,0.6518707482993196,0.4666666666666667,0.7264365079365079,"{""lambda"": 1.0}",12.0,19.0,0.0,
20,19042,1,L2,56,15,0.6375850340136053,0.4666666666666667,0.7280238095238095,"{""lambda"": 1.0}",10.0,21.0,,
20,19042,1,Elastic Net,56,15,0.7114468864468864,0.4666666666666667,0.6666825396825397,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",78.0,9.0,,
20,19042,1,SVM,56,15,0.6688731903017617,0.4666666666666667,0.6881111111111112,"{""C"": 0.01, ""gamma"": 0.01}",27.0,21.0,,
20,19042,1,Inner-selected,56,15,0.6375850340136053,0.4666666666666667,,,,,,L2
20,19042,2,Monotonic,57,14,0.7132936507936508,0.42857142857142855,0.7423722943722944,"{""lambda"": 10.0}",9.0,19.0,0.0,
20,19042,2,L2,57,14,0.7041666666666665,0.42857142857142855,0.7421414141414141,"{""lambda"": 10.0}",9.0,21.0,,
20,19042,2,Elastic Net,57,14,0.6446127946127946,0.42857142857142855,0.7096493506493506,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",117.0,4.0,,
20,19042,2,SVM,57,14,0.699206349206349,0.42857142857142855,0.7188383838383838,"{""C"": 0.01, ""gamma"": ""scale""}",33.0,21.0,,
20,19042,2,Inner-selected,57,14,0.7132936507936508,0.42857142857142855,,,,,,Monotonic
20,19042,3,Monotonic,57,14,0.6887917637917637,0.42857142857142855,0.7127301587301587,"{""lambda"": 0.1}",15.0,18.0,0.0,
20,19042,3,L2,57,14,0.8361823361823362,0.42857142857142855,0.7115396825396825,"{""lambda"": 10.0}",10.0,21.0,,
20,19042,3,Elastic Net,57,14,0.6130341880341881,0.42857142857142855,0.7114444444444444,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",158.0,9.0,,
20,19042,3,SVM,57,14,0.8193473193473193,0.42857142857142855,0.6977128427128427,"{""C"": 0.01, ""gamma"": 0.01}",26.0,21.0,,
20,19042,3,Inner-selected,57,14,0.6887917637917637,0.42857142857142855,,,,,,Monotonic
20,19042,4,Monotonic,57,14,0.9166666666666666,0.42857142857142855,0.6584992784992785,"{""lambda"": 1.0}",12.0,19.0,0.0,
20,19042,4,L2,57,14,0.9242424242424242,0.42857142857142855,0.6815151515151514,"{""lambda"": 10.0}",10.0,21.0,,
20,19042,4,Elastic Net,57,14,0.8075757575757575,0.42857142857142855,0.6155468975468976,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",72.0,4.0,,
20,19042,4,SVM,57,14,0.8690476190476191,0.42857142857142855,0.6320389610389611,"{""C"": 0.01, ""gamma"": ""scale""}",31.0,21.0,,
20,19042,4,Inner-selected,57,14,0.9242424242424242,0.42857142857142855,,,,,,L2
20,19042,5,Monotonic,57,14,0.5810185185185185,0.42857142857142855,0.7241269841269842,"{""lambda"": 10.0}",10.0,19.0,0.0,
20,19042,5,L2,57,14,0.5532407407407407,0.42857142857142855,0.7281818181818182,"{""lambda"": 10.0}",10.0,21.0,,
20,19042,5,Elastic Net,57,14,0.5649831649831649,0.42857142857142855,0.7672857142857141,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",165.0,4.0,,
20,19042,5,SVM,57,14,0.3893671143671144,0.42857142857142855,0.7002539682539682,"{""C"": 1.0, ""gamma"": 0.1}",77.0,21.0,,
20,19042,5,Inner-selected,57,14,0.5649831649831649,0.42857142857142855,,,,,,Elastic Net
