model,mean_outer_fold_ap,conditional_ci95_low,conditional_ci95_high,source
L2 (NMR only),0.6863747264640121,0.5855007789044904,0.8132640206208464,L2+SoftMonotonic/Results/summary.csv
Monotonic + L2 (NMR only),0.6838818265068265,0.5849695773169561,0.8088533309891252,L2+SoftMonotonic/Results/summary.csv
